task_id_list	courier_id	total_score	willingness
T0018,T0030	C0049	27.91	0.109
T0008,T0014	C0049	70.26	0.1682
T0007,T0028	C0005	47.94	0.263
T0021,T0024	C0060	60.37	0.6366
T0005,T0010	C0045	63.2	0.2417
T0027	C0008	23.27	0.1846
T0016,T0030	C0019	87.65	0.0173
T0023,T0028	C0014	61.71	0.6212
T0001,T0004	C0023	53.99	0.2514
T0001,T0009	C0061	40.82	0.528
T0025,T0028	C0008	66.47	0.2005
T0006,T0024	C0029	60.22	0.5086
T0018,T0030	C0020	42.31	0.0623
T0015,T0021	C0028	96.52	0.3628
T0007,T0029	C0033	39.45	0.0991
T0005,T0021	C0059	29.89	0.0718
T0009,T0011	C0025	56.72	0.3997
T0001,T0018	C0042	36.31	0.4562
T0026,T0027	C0004	87.4	0.1562
T0002,T0006	C0045	58.84	0.4581
T0005,T0007	C0041	90.55	0.4094
T0027,T0028	C0007	81.97	0.0
T0002,T0014	C0013	36.09	0.0481
T0006,T0026	C0012	56.89	0.1671
T0011,T0022	C0046	46.7	0.3975
T0002,T0014	C0016	69.96	0.2622
T0022,T0030	C0001	21.97	0.5437
T0003,T0021	C0009	20.0	0.3295
T0012,T0026	C0029	38.34	0.1192
T0019,T0022	C0001	77.07	0.2045
T0011	C0026	44.18	0.19
T0002,T0014	C0018	70.46	0.0139
T0025	C0010	13.45	0.6694
T0010,T0026	C0037	73.93	0.1899
T0004,T0029	C0053	79.52	0.1189
T0013,T0017	C0052	100.0	0.4367
T0020,T0023	C0061	59.62	0.0789
T0023,T0024	C0001	54.51	0.5379
T0023,T0030	C0026	43.72	0.1933
T0025,T0027	C0033	68.6	0.1664
T0022,T0026	C0017	64.97	0.4333
T0001,T0029	C0014	31.55	0.3921
T0009,T0023	C0048	34.43	0.4296
T0011,T0024	C0052	72.75	0.0
T0001,T0019	C0061	39.83	0.4023
T0012,T0014	C0045	90.82	0.2847
T0023,T0024	C0019	37.74	0.0481
T0005,T0030	C0021	67.8	0.237
T0021,T0023	C0056	90.71	0.4257
T0006,T0017	C0026	33.5	0.0
T0005,T0015	C0033	55.52	0.0293
T0015,T0021	C0035	69.49	0.2695
T0006,T0023	C0026	20.0	0.0551
T0025,T0028	C0010	29.31	0.4056
T0001,T0010	C0034	45.21	0.4508
T0017,T0024	C0018	35.27	0.2783
T0015,T0028	C0045	78.59	0.1973
T0008,T0010	C0054	84.19	0.0109
T0006,T0010	C0026	52.68	0.0
T0009,T0027	C0054	82.88	0.1579
T0007,T0015	C0009	45.3	0.1535
T0023,T0030	C0013	49.17	0.3199
T0011,T0019	C0053	38.48	0.4218
T0020,T0022	C0024	62.6	0.2151
T0019	C0052	36.33	0.6214
T0003,T0023	C0034	35.44	0.449
T0020,T0026	C0022	35.44	0.1777
T0020,T0024	C0037	46.62	0.3715
T0011,T0026	C0019	51.64	0.4333
T0002,T0013	C0050	64.95	0.3718
T0011	C0053	33.14	0.6991
T0001,T0020	C0017	55.83	0.7238
T0017,T0022	C0018	46.25	0.3558
T0002,T0009	C0031	75.01	0.4803
T0023,T0027	C0001	69.19	0.7244
T0001,T0025	C0009	90.49	0.1861
T0003,T0009	C0040	98.04	0.0779
T0013,T0018	C0052	67.09	0.2738
T0012,T0014	C0051	70.45	0.3263
T0021,T0022	C0029	41.98	0.1932
T0002,T0027	C0047	30.46	0.09
T0003,T0006	C0046	52.53	0.1983
T0002,T0024	C0045	20.0	0.5345
T0017,T0024	C0039	20.0	0.0032
T0029,T0030	C0017	28.47	0.1665
T0011,T0022	C0020	100.0	0.0315
T0003,T0025	C0012	20.0	0.5298
T0003,T0030	C0024	43.08	0.0981
T0001,T0024	C0011	52.81	0.6258
T0009,T0025	C0018	30.67	0.0126
T0030	C0043	11.34	0.517
T0003,T0028	C0011	56.57	0.1783
T0006,T0023	C0043	41.44	0.0
T0001,T0006	C0038	77.26	0.1963
T0017,T0023	C0030	86.86	0.1307
T0021,T0023	C0008	90.57	0.0
T0010,T0015	C0010	69.76	0.2997
T0003,T0020	C0012	74.36	0.2152
T0013,T0023	C0029	34.66	0.0
T0006,T0030	C0031	81.16	0.1808
T0021,T0024	C0059	30.82	0.3241
T0004,T0006	C0003	59.74	0.2097
T0004,T0019	C0039	64.63	0.0274
T0007,T0022	C0001	59.85	0.3884
T0004,T0006	C0042	91.9	0.2536
T0013,T0028	C0057	54.17	0.3861
T0001,T0027	C0042	38.37	0.0424
T0017,T0020	C0048	38.55	0.3921
T0009,T0020	C0053	44.15	0.3802
T0013,T0024	C0033	20.0	0.1601
T0003,T0024	C0025	84.47	0.242
T0010,T0019	C0022	64.42	0.5103
T0001,T0018	C0055	53.63	0.4992
T0008	C0023	29.43	0.4713
T0017,T0027	C0041	55.46	0.3803
T0003,T0014	C0021	64.6	0.2956
T0002,T0026	C0025	44.1	0.0
T0008,T0016	C0016	62.65	0.1302
T0004,T0018	C0004	53.88	0.0
T0016,T0026	C0059	51.25	0.377
T0002,T0022	C0040	66.91	0.1987
T0008,T0009	C0016	56.3	0.1763
T0006,T0015	C0056	99.63	0.0
T0001,T0002	C0011	83.73	0.6129
T0006,T0013	C0005	77.9	0.4642
T0010,T0030	C0015	80.81	0.0
T0011,T0019	C0033	20.0	0.3926
T0001,T0024	C0029	60.91	0.4484
T0003,T0022	C0016	84.9	0.2932
T0027,T0029	C0010	22.1	0.1813
T0020,T0024	C0032	47.75	0.0461
T0009,T0025	C0057	100.0	0.4266
T0016,T0017	C0023	61.46	0.4346
T0005,T0016	C0006	34.2	0.0
T0022,T0027	C0048	100.0	0.0433
T0014,T0021	C0015	79.2	0.2143
T0018,T0022	C0049	73.28	0.0
T0019	C0012	29.03	0.2704
T0003,T0016	C0014	99.08	0.2363
T0016,T0018	C0045	53.19	0.2578
T0021	C0006	35.03	0.1797
T0009,T0018	C0008	92.16	0.2682
T0017,T0020	C0040	29.95	0.3626
T0021,T0024	C0021	45.24	0.3823
