task_id_list	courier_id	total_score	willingness
T0012,T0026	C0001	81.34	0.0
T0015,T0025	C0038	69.33	0.4741
T0015,T0029	C0028	71.71	0.2852
T0005,T0011	C0003	52.13	0.075
T0007,T0029	C0059	62.99	0.3909
T0004,T0006	C0066	84.02	0.4633
T0032	C0001	29.71	0.5174
T0011,T0033	C0048	61.58	0.3719
T0030,T0038	C0037	47.86	0.2143
T0007,T0026	C0016	65.46	0.4116
T0012,T0017	C0054	70.38	0.0378
T0023,T0031	C0012	82.22	0.6459
T0028,T0034	C0028	61.04	0.4089
T0014,T0017	C0078	64.7	0.3691
T0033	C0070	47.09	0.4284
T0005,T0016	C0050	53.01	0.0601
T0014,T0015	C0033	49.08	0.2793
T0001,T0013	C0064	71.56	0.1731
T0010,T0029	C0032	84.63	0.5649
T0012,T0036	C0001	69.82	0.1443
T0006,T0036	C0075	81.9	0.2635
T0032	C0068	15.88	0.7459
T0017,T0031	C0007	58.52	0.3493
T0009,T0032	C0015	75.65	0.2132
T0019,T0033	C0013	51.85	0.0
T0003,T0009	C0066	59.33	0.3728
T0025,T0036	C0008	66.15	0.483
T0022,T0040	C0041	53.67	0.1201
T0001,T0027	C0007	65.32	0.4979
T0003,T0021	C0019	45.46	0.302
T0035,T0039	C0073	70.51	0.3348
T0033,T0034	C0019	44.86	0.0538
T0023,T0034	C0080	84.93	0.3623
T0016,T0027	C0034	57.91	0.1558
T0001,T0029	C0029	57.52	0.2461
T0011	C0021	24.97	0.313
T0034,T0036	C0026	53.23	0.215
T0016,T0028	C0003	64.16	0.2932
T0003,T0004	C0069	67.69	0.3792
T0003,T0014	C0022	33.94	0.0826
T0007	C0068	39.69	0.5793
T0032	C0014	11.36	0.6061
T0008,T0026	C0066	38.87	0.1966
T0035	C0004	17.48	0.1565
T0024,T0031	C0028	80.4	0.171
T0003,T0025	C0011	60.01	0.4695
T0011,T0023	C0011	53.82	0.3028
T0017,T0034	C0033	26.33	0.0857
T0024	C0021	18.59	0.3455
T0016,T0017	C0052	44.76	0.0959
T0011,T0021	C0041	61.29	0.255
