task_id_list	courier_id	total_score	willingness
T0004,T0014	C0005	68.5	0.0581
T0002,T0029	C0008	72.66	0.0049
T0019,T0025	C0028	44.55	0.0146
T0003,T0020	C0041	40.92	0.0675
T0014,T0026	C0026	41.25	0.0446
T0006,T0007	C0048	71.27	0.0
T0004,T0006	C0038	50.52	0.0
T0001,T0027	C0058	90.04	0.0
T0002,T0019	C0038	83.75	0.1274
T0010,T0013	C0006	87.05	0.0237
T0001,T0004	C0024	54.8	0.0
T0017	C0022	23.63	0.245
T0007,T0030	C0057	35.92	0.0
T0008,T0025	C0042	21.37	0.0038
T0012,T0016	C0022	73.17	0.0946
T0025,T0030	C0036	42.9	0.0057
T0006,T0019	C0027	64.22	0.0927
T0011,T0026	C0029	50.4	0.0052
T0007,T0028	C0060	61.64	0.0
T0027,T0028	C0004	60.88	0.0319
T0006,T0014	C0010	60.0	0.1086
T0015,T0023	C0011	20.52	0.2164
T0021	C0048	33.19	0.2544
T0002,T0016	C0042	56.18	0.0373
T0015,T0027	C0003	56.63	0.0528
T0001,T0010	C0027	90.23	0.0622
T0019,T0023	C0059	60.65	0.0652
T0008,T0023	C0022	70.37	0.0115
T0005,T0018	C0021	72.04	0.0251
T0007,T0018	C0046	76.09	0.0203
T0021,T0022	C0057	69.72	0.0
T0022,T0024	C0046	75.66	0.0375
T0025,T0030	C0031	61.03	0.0
T0006,T0015	C0060	48.6	0.0757
T0007,T0030	C0008	75.2	0.0398
T0001,T0016	C0037	51.49	0.0
T0011,T0023	C0047	65.84	0.0867
T0018,T0021	C0029	57.58	0.0642
T0002,T0025	C0039	78.81	0.0
T0006,T0007	C0017	91.66	0.0649
T0006,T0029	C0011	89.57	0.045
T0013,T0018	C0057	53.25	0.0528
T0020,T0029	C0009	60.09	0.0
T0019,T0024	C0028	62.75	0.0
T0021,T0028	C0008	80.71	0.0
T0007,T0023	C0022	77.28	0.0092
T0009,T0024	C0029	35.39	0.0
T0006,T0015	C0004	39.07	0.1288
T0019,T0027	C0045	64.98	0.0
T0024,T0030	C0057	53.68	0.0006
T0019,T0030	C0024	71.43	0.0375
T0017,T0025	C0005	70.97	0.0636
T0002,T0026	C0056	63.61	0.0
T0024,T0027	C0053	68.02	0.0
T0005,T0010	C0062	37.74	0.0
T0002,T0030	C0002	43.71	0.0365
T0007,T0010	C0018	67.92	0.073
T0004,T0005	C0031	46.18	0.1425
T0007,T0030	C0054	59.99	0.0
T0001,T0028	C0061	79.12	0.0196
T0001,T0016	C0061	78.54	0.1014
T0001	C0019	34.27	0.1631
T0007,T0026	C0050	53.1	0.1691
T0026,T0030	C0030	46.97	0.0392
T0010,T0013	C0003	29.24	0.1046
T0015,T0028	C0061	89.82	0.0
T0007,T0023	C0002	55.05	0.0182
T0017	C0032	19.73	0.1904
T0023	C0034	35.67	0.1913
T0016,T0020	C0029	81.54	0.0972
T0002,T0012	C0052	90.79	0.0
T0004,T0011	C0028	72.31	0.0
T0008,T0022	C0001	84.73	0.0402
T0017,T0020	C0029	69.92	0.0415
T0004,T0030	C0035	45.88	0.0
T0021	C0026	23.46	0.168
T0012,T0019	C0030	64.06	0.0529
T0002,T0014	C0040	28.63	0.0721
T0019,T0023	C0008	82.46	0.0
T0007,T0015	C0033	65.9	0.0027
T0011,T0020	C0033	88.96	0.0334
T0024,T0026	C0003	50.88	0.0397
T0005,T0013	C0054	45.12	0.0692
T0013,T0019	C0053	37.21	0.0
T0007,T0026	C0001	50.07	0.0954
T0018,T0020	C0032	32.58	0.0222
T0010,T0027	C0033	67.76	0.0
T0014,T0021	C0003	75.34	0.0634
T0005,T0018	C0016	83.17	0.003
T0006,T0028	C0017	74.5	0.0274
T0005,T0012	C0020	47.25	0.1249
T0005,T0008	C0023	39.13	0.0681
T0002,T0027	C0017	39.35	0.1327
T0003	C0046	31.59	0.1133
T0015,T0022	C0044	49.15	0.0433
T0007,T0018	C0021	64.68	0.0366
T0010,T0029	C0050	51.88	0.1048
T0001,T0027	C0052	78.19	0.0812
T0015,T0025	C0034	81.43	0.1158
T0019,T0027	C0060	55.08	0.1471
T0011,T0012	C0031	55.31	0.1637
T0023,T0025	C0007	44.35	0.0224
T0017,T0018	C0042	72.22	0.0567
T0006,T0007	C0041	36.79	0.0739
T0004,T0008	C0057	69.07	0.0507
T0009,T0018	C0001	63.2	0.0
T0011,T0026	C0041	72.47	0.0321
T0013,T0028	C0019	53.22	0.0624
T0017,T0021	C0020	44.45	0.0575
T0010,T0021	C0032	65.32	0.0221
T0010,T0011	C0018	54.82	0.0921
T0006,T0008	C0062	53.15	0.1231
T0022,T0026	C0010	54.17	0.0959
T0010,T0015	C0044	55.41	0.0502
T0025,T0030	C0058	78.31	0.0348
T0001,T0014	C0031	36.88	0.0434
T0007,T0030	C0018	67.02	0.0453
T0008	C0030	13.42	0.1474
T0022,T0030	C0024	61.43	0.0327
T0004,T0017	C0055	35.62	0.0377
T0012,T0027	C0010	85.66	0.0141
T0007,T0018	C0045	52.41	0.1243
T0011,T0018	C0058	46.25	0.0
T0008	C0015	13.15	0.2735
T0007,T0021	C0041	58.52	0.0001
T0010,T0021	C0015	84.25	0.0
T0019,T0025	C0015	79.96	0.038
T0006,T0025	C0007	48.25	0.0
T0012,T0019	C0042	82.22	0.0593
T0012,T0024	C0018	65.17	0.0
T0007,T0025	C0017	67.02	0.1173
T0004,T0023	C0012	52.04	0.0
T0003,T0030	C0031	51.19	0.1822
T0017,T0028	C0017	75.42	0.1
T0015,T0030	C0013	95.34	0.0254
T0021,T0028	C0004	58.16	0.0423
T0020,T0024	C0014	51.22	0.0242
T0002,T0015	C0003	68.62	0.0
T0020,T0029	C0027	46.96	0.1065
T0020,T0021	C0060	66.35	0.0
T0004,T0019	C0046	41.59	0.1083
T0006,T0026	C0038	55.14	0.002
T0004,T0029	C0040	83.57	0.0812
T0013,T0022	C0020	45.87	0.0
T0008,T0013	C0044	55.09	0.0
T0006,T0007	C0001	59.86	0.0653
T0015,T0025	C0044	43.55	0.0442
T0013,T0021	C0055	46.08	0.0623
T0001,T0025	C0035	78.45	0.0411
T0013,T0018	C0005	62.44	0.0
T0012,T0022	C0003	52.42	0.0711
T0015,T0029	C0045	53.1	0.0174
T0025,T0028	C0045	56.31	0.0591
T0007,T0027	C0033	70.39	0.0234
T0010	C0058	32.35	0.2206
T0005,T0017	C0045	50.15	0.0
T0001,T0016	C0004	81.77	0.0
T0001,T0011	C0050	91.38	0.0157
T0008,T0010	C0038	70.93	0.0464
T0005,T0007	C0020	35.21	0.0
T0014,T0028	C0031	39.36	0.0665
T0010,T0016	C0023	65.75	0.0
T0006,T0023	C0061	71.21	0.0288
T0004,T0018	C0060	68.61	0.0166
T0014	C0025	33.87	0.2185
T0016	C0028	23.61	0.2437
T0008,T0021	C0011	77.71	0.072
T0019,T0029	C0014	74.64	0.0
T0003,T0007	C0050	20.0	0.0
T0020,T0027	C0053	63.96	0.0089
T0005,T0010	C0023	52.13	0.091
T0022,T0028	C0012	37.58	0.023
T0014,T0025	C0015	66.9	0.0179
T0006,T0023	C0003	36.9	0.0032
T0011,T0019	C0056	72.66	0.0352
T0013,T0024	C0005	49.76	0.0283
T0019	C0031	36.43	0.1602
T0009,T0014	C0006	46.38	0.0
T0008,T0026	C0012	58.96	0.0221
T0004,T0023	C0053	79.18	0.0174
T0005,T0006	C0040	61.82	0.0105
T0010	C0007	23.31	0.1612
T0011,T0017	C0045	47.29	0.039
T0020,T0030	C0041	66.69	0.1258
T0001,T0009	C0027	71.68	0.0689
T0012,T0018	C0052	89.65	0.0139
T0007,T0025	C0061	43.79	0.0
T0012,T0019	C0053	32.28	0.0761
T0001,T0012	C0039	74.13	0.0072
