task_id_list	courier_id	total_score	willingness
T0004,T0030	C0032	33.73	0.4328
T0006,T0008	C0062	77.27	0.3301
T0010,T0020	C0004	39.51	0.6402
T0010,T0013	C0001	83.89	0.1129
T0014,T0020	C0054	43.46	0.0
T0007,T0030	C0030	75.16	0.0
T0003,T0011	C0024	49.11	0.1715
T0004,T0007	C0016	48.9	0.3548
T0027,T0028	C0004	56.94	0.7174
T0004,T0021	C0019	57.55	0.3669
T0024,T0030	C0041	66.35	0.4392
T0020,T0021	C0058	54.48	0.0
T0015,T0030	C0031	66.55	0.4536
T0002,T0015	C0022	66.83	0.401
T0001,T0021	C0051	83.74	0.4349
T0009,T0010	C0043	27.7	0.5529
T0011,T0015	C0051	72.2	0.0105
T0018,T0021	C0051	71.27	0.5872
T0005,T0022	C0009	77.88	0.0411
T0023,T0030	C0041	33.27	0.7342
T0010,T0027	C0022	60.58	0.3558
T0013,T0029	C0004	79.16	0.7634
T0013,T0030	C0048	41.74	0.1079
T0026,T0028	C0027	57.84	0.5023
T0024,T0029	C0052	58.3	0.4291
T0012	C0055	12.11	0.1524
T0007,T0021	C0044	47.54	0.0067
T0004,T0025	C0016	77.31	0.1596
T0020,T0025	C0055	59.21	0.4795
T0018,T0022	C0060	55.98	0.0947
T0012,T0021	C0062	53.07	0.203
T0016,T0025	C0007	74.72	0.4137
T0015,T0028	C0061	52.35	0.2077
T0007,T0021	C0042	33.24	0.1957
T0003,T0020	C0004	47.08	0.2059
T0004,T0006	C0026	55.08	0.3436
T0009,T0011	C0043	59.17	0.1283
T0016	C0017	28.88	0.3129
T0018,T0030	C0021	39.8	0.0
T0011,T0022	C0025	71.0	0.2896
T0020	C0027	33.3	0.7799
T0001,T0026	C0036	38.23	0.0624
T0004,T0016	C0017	44.0	0.158
T0010,T0022	C0034	66.33	0.2302
T0012,T0026	C0025	54.44	0.4402
T0015,T0021	C0053	71.99	0.0
T0003,T0009	C0052	41.6	0.2566
T0012,T0022	C0020	67.16	0.1995
T0026,T0029	C0046	51.32	0.3509
T0004,T0008	C0041	32.71	0.0554
T0009	C0004	43.65	0.4461
T0004,T0015	C0030	50.76	0.4173
T0017,T0021	C0034	52.41	0.13
T0014,T0018	C0018	91.68	0.3479
T0024,T0026	C0040	47.98	0.1553
T0008,T0015	C0046	71.3	0.4096
T0021	C0004	38.42	0.565
T0018,T0028	C0058	80.77	0.3322
T0007,T0016	C0062	85.83	0.367
T0017,T0029	C0011	40.17	0.1713
T0017,T0024	C0055	59.05	0.1968
T0019,T0030	C0054	32.77	0.3822
T0005,T0008	C0014	71.35	0.215
T0020,T0030	C0010	63.49	0.3711
T0006,T0011	C0005	51.79	0.1862
T0016,T0027	C0042	44.56	0.1019
T0009,T0022	C0056	38.12	0.3154
T0006,T0030	C0023	46.01	0.6132
T0020,T0029	C0059	52.7	0.2506
T0020,T0024	C0047	53.0	0.2197
T0014,T0016	C0045	39.87	0.2163
T0007,T0028	C0057	42.52	0.4106
T0002,T0026	C0034	58.35	0.4838
T0001,T0026	C0017	53.47	0.5941
T0004,T0010	C0011	55.36	0.3667
T0020,T0030	C0056	71.71	0.1167
T0009,T0020	C0053	78.84	0.3174
T0001,T0022	C0046	73.79	0.4627
T0003,T0025	C0031	55.21	0.3837
T0024,T0025	C0045	59.56	0.3145
T0017,T0025	C0053	45.65	0.0367
T0014,T0018	C0029	79.18	0.1268
T0010,T0014	C0044	72.12	0.0
T0013,T0015	C0015	61.99	0.0515
T0010,T0021	C0062	47.9	0.4944
T0005,T0020	C0061	41.9	0.2502
T0014,T0030	C0036	82.59	0.459
T0015,T0022	C0025	49.51	0.1024
T0023,T0028	C0051	53.2	0.4931
T0003,T0018	C0048	60.8	0.2978
T0018,T0027	C0033	69.66	0.4815
T0029,T0030	C0005	54.48	0.6279
T0017,T0022	C0016	49.32	0.0148
T0003,T0027	C0033	94.68	0.4549
T0013	C0058	17.45	0.3637
T0004,T0018	C0001	64.79	0.4882
T0009,T0024	C0044	83.09	0.1419
T0019,T0028	C0042	53.05	0.18
T0022,T0027	C0034	40.58	0.4377
T0028	C0021	21.01	0.9426
T0011,T0026	C0024	75.59	0.0
T0006,T0018	C0049	75.05	0.2822
T0003,T0027	C0008	81.92	0.0
T0012,T0024	C0059	51.46	0.3055
T0006,T0016	C0017	47.83	0.271
T0008,T0022	C0032	59.01	0.426
T0009,T0023	C0062	75.92	0.3228
T0021,T0026	C0053	59.06	0.231
T0017,T0024	C0053	47.64	0.201
T0001,T0002	C0013	66.41	0.07
T0001,T0021	C0045	75.03	0.2453
T0009,T0013	C0001	70.32	0.2037
T0015,T0018	C0060	45.53	0.2361
T0005,T0016	C0056	41.08	0.2707
T0009,T0028	C0028	20.0	0.0
T0001,T0028	C0051	51.33	0.437
T0027	C0007	15.55	0.6442
T0024,T0027	C0031	49.88	0.4215
T0012,T0017	C0061	80.17	0.3278
T0001,T0029	C0040	63.24	0.4511
T0004,T0021	C0060	62.08	0.171
T0021,T0022	C0048	90.38	0.1721
T0005	C0009	48.01	0.975
T0007,T0029	C0040	66.51	0.3995
T0012,T0027	C0050	55.82	0.1994
T0006,T0012	C0037	95.16	0.3554
T0015,T0022	C0006	72.0	0.1475
T0020,T0026	C0044	92.53	0.4639
T0011,T0023	C0015	77.88	0.2112
T0003,T0004	C0033	58.88	0.3819
T0017,T0018	C0025	61.88	0.2694
T0002,T0024	C0058	76.01	0.1887
T0029,T0030	C0026	64.27	0.3148
T0009,T0014	C0050	32.6	0.0258
T0012,T0027	C0051	48.02	0.6337
T0004,T0012	C0003	81.69	0.4826
T0007,T0012	C0038	82.39	0.4873
T0001,T0023	C0026	49.86	0.4084
T0009,T0010	C0036	86.33	0.3328
T0007,T0025	C0044	88.5	0.08
T0014,T0018	C0060	51.61	0.2705
T0002,T0022	C0034	58.6	0.3101
T0004,T0010	C0013	77.51	0.3239
T0018,T0024	C0061	45.73	0.1315
T0023,T0030	C0062	91.58	0.5229
T0007,T0009	C0019	57.75	0.5446
T0026,T0030	C0038	43.23	0.2168
T0003,T0009	C0050	32.26	0.1379
T0007,T0029	C0056	91.19	0.3054
T0010,T0017	C0006	89.04	0.4362
T0007,T0017	C0007	55.02	0.2466
T0004,T0013	C0022	57.35	0.3329
T0002,T0015	C0023	76.07	0.1173
T0003,T0018	C0024	60.75	0.449
T0002,T0017	C0019	44.7	0.5087
T0016,T0029	C0026	34.71	0.1184
T0008,T0014	C0027	42.34	0.3164
T0021,T0030	C0029	39.12	0.2877
T0003,T0025	C0014	42.03	0.4976
T0004,T0020	C0002	74.9	0.0332
T0008,T0017	C0057	55.57	0.2797
T0003,T0023	C0014	55.17	0.4774
T0007,T0023	C0058	71.16	0.5443
T0013,T0024	C0010	72.63	0.0067
T0001,T0015	C0031	53.81	0.2672
T0004,T0018	C0015	59.53	0.0589
T0015,T0030	C0051	61.69	0.0517
T0002,T0021	C0054	76.63	0.3806
T0027,T0029	C0050	75.48	0.0
T0009,T0010	C0041	55.36	0.0
T0013	C0021	27.63	0.6831
T0006,T0012	C0021	97.2	0.3347
T0026,T0028	C0045	38.21	0.3633
T0008,T0027	C0054	55.89	0.21
T0020,T0025	C0026	76.58	0.4246
T0007	C0049	21.43	0.4388
T0016,T0019	C0022	76.11	0.2068
T0023,T0029	C0040	43.09	0.6257
T0020,T0023	C0028	37.75	0.0
T0009,T0010	C0056	32.27	0.0
T0015,T0017	C0006	65.69	0.5085
T0002,T0020	C0008	48.76	0.1675
T0005,T0008	C0019	27.23	0.6908
T0014,T0019	C0002	23.13	0.0
T0001,T0015	C0027	96.97	0.0
T0001,T0026	C0021	31.95	0.0797
T0022,T0025	C0011	51.64	0.1754
T0015	C0056	32.72	0.7865
T0004,T0008	C0046	73.03	0.507
T0023,T0026	C0047	59.11	0.0
T0021,T0029	C0033	48.07	0.3771
T0004,T0022	C0019	55.78	0.5096
T0004	C0001	41.28	0.7457
T0003,T0024	C0024	44.35	0.4896
T0007,T0014	C0011	56.28	0.2322
T0007,T0029	C0032	73.43	0.0
T0021,T0022	C0011	46.32	0.1485
T0001,T0017	C0014	62.12	0.1933
T0007,T0013	C0008	81.37	0.0
T0018,T0025	C0020	34.91	0.274
T0025	C0051	39.8	0.1124
T0004,T0025	C0012	64.41	0.3542
T0016	C0013	13.4	0.9145
T0025	C0052	37.68	0.6496
T0004,T0011	C0025	48.19	0.2087
T0020,T0021	C0055	77.17	0.0558
T0016	C0056	23.27	0.653
T0012,T0019	C0050	57.92	0.1836
T0005,T0012	C0054	42.61	0.0
T0014,T0030	C0062	62.21	0.2988
T0011,T0017	C0024	68.46	0.0146
T0016,T0017	C0022	57.47	0.526
T0008,T0027	C0017	62.4	0.2498
T0001,T0020	C0016	68.23	0.3194
T0006,T0018	C0053	59.27	0.4557
T0008	C0040	23.53	0.912
T0016,T0021	C0054	90.72	0.5222
T0008,T0026	C0013	60.88	0.4196
T0003,T0030	C0010	43.23	0.4178
T0009,T0012	C0019	71.61	0.4825
T0020,T0025	C0031	56.07	0.1638
T0026,T0029	C0061	41.41	0.0539
T0004,T0021	C0012	75.38	0.2165
T0005,T0025	C0054	28.94	0.1137
T0002,T0005	C0018	78.68	0.0
T0007,T0024	C0043	41.33	0.584
T0003,T0011	C0058	70.66	0.3083
T0005,T0009	C0013	50.09	0.5923
T0014,T0021	C0006	58.86	0.3622
T0015,T0028	C0062	71.53	0.4293
T0015,T0025	C0041	45.34	0.222
T0008,T0019	C0033	44.1	0.2359
T0009,T0021	C0040	72.36	0.2766
T0013,T0018	C0016	77.33	0.0325
T0008,T0014	C0030	53.04	0.2557
T0008,T0017	C0010	50.44	0.5052
T0005,T0018	C0039	53.18	0.1406
T0004,T0013	C0004	57.86	0.6909
T0018,T0029	C0053	20.3	0.6032
T0010,T0021	C0050	58.16	0.3322
T0023,T0026	C0007	55.66	0.0843
T0007,T0029	C0024	74.36	0.2916
T0023,T0030	C0020	64.75	0.629
T0024	C0021	20.46	0.936
T0022,T0028	C0025	80.41	0.0207
T0025,T0028	C0056	82.14	0.0
T0023	C0056	25.41	0.7185
T0012,T0015	C0042	46.64	0.4185
T0009,T0028	C0004	90.83	0.4006
T0022,T0030	C0061	58.0	0.275
T0017,T0023	C0013	38.87	0.19
T0016,T0019	C0060	79.87	0.3047
T0001,T0013	C0038	42.48	0.1839
T0002,T0030	C0028	46.37	0.2871
T0009,T0022	C0027	55.4	0.0262
T0019,T0022	C0054	37.62	0.5648
T0020	C0048	38.39	0.2768
T0021,T0025	C0051	68.5	0.2249
T0002,T0017	C0023	50.6	0.0
T0001,T0029	C0039	44.85	0.3106
T0010,T0017	C0058	98.43	0.0
T0022,T0023	C0026	55.14	0.3524
T0001,T0024	C0009	71.03	0.4577
T0006,T0020	C0039	81.76	0.4321
T0003,T0029	C0022	68.4	0.4254
T0011,T0021	C0029	45.17	0.2037
T0015,T0023	C0023	75.49	0.6072
T0006,T0015	C0054	72.07	0.2405
T0001,T0030	C0040	63.84	0.417
T0001,T0026	C0008	67.89	0.0267
T0004,T0016	C0057	55.03	0.3271
T0018,T0030	C0055	75.35	0.0621
T0006,T0014	C0033	53.49	0.1827
T0005,T0021	C0059	38.62	0.0795
T0001,T0015	C0016	87.7	0.3969
T0014,T0021	C0040	83.58	0.2379
T0001,T0029	C0061	63.02	0.034
T0023,T0024	C0018	64.13	0.2287
T0014	C0053	12.52	0.9054
T0012,T0028	C0052	68.88	0.1981
T0009,T0010	C0033	78.77	0.0387
T0009,T0030	C0007	41.65	0.1802
T0001,T0025	C0024	80.03	0.12
T0006,T0008	C0057	69.47	0.2586
T0004,T0005	C0005	63.5	0.1854
T0018,T0025	C0005	57.81	0.1422
T0002,T0004	C0056	64.14	0.0992
T0011,T0025	C0015	75.69	0.0441
