task_id_list	courier_id	total_score	willingness
T0007,T0017	C0012	69.07	0.2789
T0018,T0022	C0010	30.45	0.3243
T0015,T0027	C0016	64.62	0.2915
T0027,T0039	C0015	57.52	0.3061
T0002,T0005	C0017	51.99	0.427
T0016,T0038	C0019	76.9	0.08
T0004,T0034	C0003	74.12	0.5069
T0012,T0032	C0012	54.5	0.0
T0021,T0032	C0013	55.37	0.4351
T0001,T0040	C0021	69.86	0.5343
T0032,T0035	C0005	42.89	0.0943
T0001,T0029	C0004	40.93	0.5965
T0002,T0015	C0009	30.5	0.1591
T0008,T0016	C0016	52.21	0.1822
T0023,T0036	C0022	60.94	0.4622
T0032,T0033	C0018	61.48	0.2944
T0016	C0006	16.73	0.7912
T0020,T0040	C0020	55.88	0.3472
T0004,T0026	C0022	81.81	0.1772
T0014,T0025	C0017	46.8	0.2303
T0008	C0001	45.35	0.3843
T0014,T0032	C0011	35.16	0.3834
T0006,T0019	C0017	80.92	0.3262
T0008,T0035	C0005	54.84	0.2481
T0005,T0016	C0006	52.37	0.3809
T0018,T0025	C0021	62.47	0.1006
T0007,T0018	C0017	55.83	0.6246
T0006,T0016	C0003	55.72	0.0225
T0011,T0032	C0010	42.0	0.1003
T0015,T0028	C0021	77.44	0.1638
T0016,T0038	C0015	60.91	0.2727
T0026,T0034	C0011	58.1	0.3961
T0005,T0023	C0018	66.33	0.3247
T0033	C0001	46.43	0.6811
T0016,T0027	C0010	70.96	0.2989
T0012,T0037	C0022	79.26	0.0457
T0022,T0030	C0001	40.78	0.2292
T0018,T0025	C0006	58.94	0.0588
T0009,T0022	C0015	75.97	0.024
T0009,T0024	C0015	71.38	0.061
T0018,T0033	C0013	64.73	0.525
T0003,T0022	C0013	77.93	0.0284
T0001,T0039	C0011	52.89	0.1778
T0008,T0019	C0011	80.67	0.3147
T0008,T0015	C0011	78.99	0.582
T0010,T0028	C0002	31.04	0.3653
T0003,T0036	C0010	80.49	0.8252
T0012,T0027	C0005	40.91	0.2279
T0011,T0031	C0011	48.32	0.1043
T0003,T0023	C0018	42.99	0.1816
T0009,T0031	C0006	62.11	0.1531
T0010,T0034	C0005	38.63	0.5676
T0019,T0037	C0012	70.48	0.1651
T0021,T0035	C0011	65.56	0.324
T0004,T0037	C0012	59.54	0.1719
T0029,T0030	C0018	74.33	0.1638
T0001,T0008	C0011	81.4	0.1311
T0025,T0027	C0007	54.99	0.5276
T0009	C0002	14.81	0.6017
T0017,T0035	C0002	38.99	0.2315
T0005,T0009	C0011	57.77	0.6165
T0006,T0024	C0018	32.22	0.2929
T0006,T0014	C0015	63.6	0.4602
T0016,T0020	C0005	29.41	0.2741
T0013,T0032	C0008	48.08	0.3451
T0037,T0040	C0014	47.61	0.365
T0034,T0035	C0002	69.65	0.2203
T0016,T0018	C0004	55.08	0.0
T0003,T0005	C0008	85.05	0.0067
T0030,T0036	C0017	70.2	0.5171
T0033,T0036	C0015	100.0	0.3895
T0007,T0016	C0004	23.19	0.0
T0017,T0022	C0014	70.73	0.505
T0007,T0015	C0003	65.04	0.3011
T0003,T0038	C0015	49.01	0.2197
T0001,T0015	C0003	59.19	0.5441
T0012,T0028	C0012	40.79	0.119
T0026,T0029	C0014	74.19	0.2434
T0023,T0030	C0011	34.82	0.0
T0024,T0026	C0008	70.57	0.4779
T0005,T0037	C0004	68.51	0.1711
T0015,T0018	C0017	35.08	0.6468
T0016,T0039	C0017	45.49	0.2254
T0001,T0019	C0018	48.05	0.5295
T0006,T0021	C0013	63.44	0.3031
T0014,T0034	C0017	50.24	0.1564
T0015,T0025	C0013	84.69	0.4661
T0003,T0037	C0011	57.66	0.4409
T0040	C0003	19.04	0.8137
T0010,T0011	C0004	42.8	0.3279
T0030,T0032	C0020	65.24	0.1435
T0004	C0018	33.29	0.4774
T0015,T0023	C0003	69.01	0.2914
T0022,T0031	C0008	84.19	0.1781
T0003,T0021	C0009	48.19	0.6541
T0032	C0014	36.47	0.6555
T0027,T0036	C0003	67.98	0.4607
T0005,T0016	C0017	58.73	0.247
T0002,T0030	C0003	57.23	0.2348
T0005,T0020	C0020	61.57	0.4341
T0006,T0018	C0022	61.04	0.4886
T0022,T0028	C0010	38.19	0.6329
T0020	C0006	15.66	0.3121
T0019,T0031	C0018	76.49	0.5152
T0017,T0040	C0021	52.21	0.6367
T0025,T0026	C0005	44.67	0.3298
T0005,T0018	C0019	79.01	0.3086
T0012,T0026	C0016	53.76	0.4115
T0008,T0024	C0012	59.94	0.365
T0005,T0024	C0019	95.59	0.1523
T0017,T0029	C0017	52.67	0.2559
T0012,T0039	C0009	81.1	0.4475
T0021	C0016	12.54	0.6077
