task_id_list	courier_id	total_score	willingness
T0002,T0008	C0010	55.25	0.4844
T0004,T0010	C0027	50.33	0.071
T0008,T0011	C0015	54.06	0.1372
T0002,T0008	C0003	31.53	0.2654
T0003,T0008	C0010	50.36	0.0295
T0003,T0014	C0014	45.14	0.1021
T0001,T0002	C0006	42.41	0.3037
T0005,T0007	C0022	34.81	0.2403
T0002,T0004	C0022	32.86	0.4353
T0003,T0006	C0012	42.78	0.5278
T0013	C0009	25.62	0.7021
T0003,T0007	C0006	39.64	0.1853
T0005,T0010	C0015	40.16	0.0119
T0002,T0010	C0018	49.42	0.3516
T0001,T0008	C0016	69.81	0.1905
T0015	C0018	15.03	0.7183
T0001,T0011	C0001	21.54	0.3292
T0007,T0009	C0016	49.08	0.4442
T0003,T0015	C0001	31.28	0.4246
T0005,T0009	C0021	35.87	0.0
T0013,T0015	C0009	36.25	0.5562
T0011,T0015	C0024	33.4	0.2281
T0012	C0009	15.13	0.7472
T0005,T0006	C0019	56.09	0.4421
T0006,T0008	C0010	56.56	0.6792
T0009	C0016	25.61	0.9466
T0003,T0014	C0009	42.16	0.3912
T0003,T0011	C0010	52.56	0.1575
T0004,T0010	C0005	51.61	0.421
T0007,T0015	C0024	35.32	0.4756
T0008,T0009	C0024	25.18	0.6245
T0008,T0011	C0005	45.47	0.2606
T0011,T0012	C0002	37.42	0.25
T0003,T0014	C0017	39.46	0.2261
T0001,T0003	C0006	34.19	0.2311
T0007	C0002	18.18	0.4915
T0005,T0009	C0002	61.88	0.0286
T0004,T0008	C0024	37.48	0.2784
T0007,T0014	C0004	23.83	0.2737
T0001	C0021	17.55	0.7097
T0007,T0014	C0025	25.94	0.2157
T0001,T0008	C0006	50.29	0.3256
T0003,T0005	C0001	47.42	0.027
T0005,T0009	C0026	39.77	0.4815
T0004,T0012	C0023	67.92	0.0995
T0009,T0010	C0009	37.67	0.2915
T0011,T0015	C0016	45.14	0.4911
T0001	C0020	18.62	0.7359
T0004,T0008	C0018	32.61	0.4815
T0006,T0009	C0021	23.47	0.2104
T0008,T0013	C0006	42.33	0.4528
T0009,T0014	C0025	43.93	0.1576
T0001	C0022	32.04	0.6131
T0014	C0023	22.88	0.4885
T0002,T0010	C0011	57.43	0.3629
T0009,T0014	C0007	61.46	0.073
T0007,T0012	C0011	70.43	0.1177
T0006,T0013	C0008	44.75	0.0134
T0005,T0012	C0003	49.62	0.055
T0003,T0005	C0027	64.45	0.2742
T0005,T0008	C0027	53.43	0.343
T0006,T0008	C0024	35.56	0.5917
T0003,T0010	C0027	78.0	0.2867
T0010,T0012	C0009	24.4	0.2246
T0010,T0012	C0003	44.13	0.3781
T0001,T0004	C0021	46.05	0.483
T0003,T0005	C0014	28.12	0.4794
T0009,T0015	C0013	37.83	0.1563
T0003,T0012	C0010	41.77	0.0009
T0002,T0010	C0009	40.52	0.0451
T0013	C0020	21.97	0.6633
T0010,T0014	C0005	62.49	0.359
T0006,T0007	C0013	34.0	0.5753
T0011	C0013	20.55	0.944
T0004,T0005	C0019	39.42	0.4686
T0006,T0015	C0015	37.3	0.3251
T0007,T0012	C0008	48.56	0.6459
T0013,T0014	C0026	56.03	0.2836
T0003,T0014	C0005	62.29	0.3535
T0001,T0003	C0009	22.43	0.4902
T0004,T0005	C0024	32.07	0.1479
T0012	C0026	21.74	0.5584
T0006,T0009	C0020	40.66	0.2707
T0009,T0013	C0018	34.21	0.4734
T0003,T0015	C0012	28.06	0.5848
T0009,T0013	C0024	43.25	0.306
T0003,T0014	C0001	37.87	0.3935
T0007,T0011	C0012	38.75	0.4849
T0001,T0010	C0021	41.84	0.5279
T0003,T0013	C0009	42.79	0.546
T0009,T0014	C0004	44.55	0.4077
T0003,T0005	C0022	35.45	0.1936
T0006,T0011	C0021	33.17	0.2063
T0005,T0007	C0008	33.34	0.5582
T0010	C0005	39.16	0.4515
T0004,T0011	C0022	46.1	0.7068
T0007,T0008	C0024	44.8	0.6407
T0010,T0013	C0011	60.24	0.4163
T0013,T0015	C0013	56.51	0.284
T0013,T0014	C0019	47.85	0.0
T0004,T0010	C0013	57.78	0.0
T0002,T0014	C0025	33.24	0.2671
T0002,T0014	C0016	56.64	0.248
T0008	C0012	12.06	0.4573
T0002,T0003	C0010	62.3	0.0
T0007	C0007	17.29	0.6066
T0006	C0013	13.44	0.8005
T0005	C0002	28.89	0.4592
T0007,T0014	C0008	55.53	0.7068
T0003,T0004	C0026	50.9	0.393
T0001,T0011	C0009	48.56	0.2294
T0001,T0004	C0013	35.49	0.0
T0001,T0009	C0006	20.0	0.3254
T0003,T0004	C0025	71.98	0.1649
T0003,T0005	C0019	43.19	0.3773
T0007,T0015	C0018	37.03	0.4238
T0003,T0012	C0006	42.87	0.075
T0008,T0011	C0008	44.96	0.0422
T0011,T0012	C0003	44.03	0.2221
T0001,T0004	C0024	40.71	0.0652
T0005,T0012	C0011	48.06	0.2511
T0003,T0012	C0026	55.19	0.52
T0013,T0015	C0024	39.17	0.3146
T0005,T0014	C0023	45.96	0.1537
T0008,T0015	C0008	57.59	0.384
T0013,T0014	C0023	30.59	0.2729
T0002,T0004	C0011	43.99	0.1245
T0005	C0027	24.46	0.4596
T0004,T0005	C0016	55.46	0.4533
T0004,T0009	C0012	46.1	0.4616
T0010,T0014	C0017	28.33	0.1498
T0005,T0007	C0014	52.11	0.4056
T0010,T0011	C0012	39.08	0.3514
T0007,T0008	C0013	27.37	0.4259
T0001,T0011	C0016	53.37	0.1499
T0005,T0015	C0016	46.28	0.4687
T0002,T0003	C0022	48.25	0.2545
T0003,T0005	C0003	56.75	0.1224
T0010,T0013	C0010	61.98	0.0967
T0009,T0015	C0004	24.47	0.5376
T0006,T0009	C0004	28.01	0.4079
T0004,T0012	C0012	63.52	0.4804
T0012,T0014	C0026	42.43	0.237
T0013	C0010	30.83	0.2099
T0011,T0012	C0008	48.31	0.1788
T0011	C0018	30.79	0.6303
T0003,T0007	C0004	30.14	0.4037
T0003,T0013	C0003	38.86	0.2474
T0003,T0010	C0008	28.41	0.2874
T0004,T0011	C0027	42.79	0.1065
T0003,T0005	C0024	37.72	0.0607
T0007	C0020	30.83	0.255
T0008,T0009	C0002	42.45	0.0478
T0001,T0005	C0002	40.15	0.2952
T0006,T0010	C0026	42.16	0.1793
T0006,T0014	C0019	36.16	0.2318
T0011,T0012	C0020	61.32	0.1266
T0004,T0014	C0004	39.72	0.2854
T0012,T0015	C0015	63.01	0.1198
T0001,T0009	C0022	56.96	0.0774
T0004,T0009	C0007	59.81	0.1862
T0010,T0013	C0019	51.44	0.0
T0002,T0007	C0021	44.12	0.2351
T0012	C0012	32.84	0.5618
T0003,T0013	C0006	20.0	0.3871
T0013,T0015	C0004	37.65	0.1389
T0003,T0004	C0024	42.78	0.0147
T0001,T0003	C0010	39.23	0.1408
T0006,T0014	C0006	52.42	0.4127
T0001,T0006	C0005	46.0	0.0
T0005	C0012	17.47	0.8633
T0006,T0011	C0011	64.22	0.1905
T0006,T0013	C0017	44.85	0.5811
T0001,T0007	C0023	50.99	0.0701
T0004,T0005	C0009	45.76	0.2417
T0001,T0014	C0021	45.27	0.4747
T0004,T0012	C0021	34.79	0.3801
T0001,T0012	C0019	54.44	0.5134
T0008,T0015	C0017	44.4	0.5088
T0002,T0004	C0020	33.56	0.4644
T0013,T0014	C0008	56.39	0.3983
T0001,T0014	C0006	41.72	0.2474
T0005,T0012	C0001	63.65	0.0596
T0009,T0010	C0014	27.7	0.6993
T0002,T0015	C0019	63.02	0.5582
T0004	C0005	14.5	0.8241
T0002,T0012	C0010	49.42	0.3058
T0001,T0015	C0013	29.63	0.1445
T0001,T0014	C0026	53.13	0.2387
T0005,T0013	C0017	46.0	0.3585
T0008,T0013	C0018	58.09	0.3746
T0004,T0014	C0011	37.83	0.2108
T0006,T0010	C0009	39.31	0.2107
