task_id_list	courier_id	total_score	willingness
T0002,T0004	C0011	28.15	0.2738
T0002	C0012	26.66	0.724
T0004,T0005	C0012	61.31	0.467
T0003,T0005	C0005	27.9	0.0988
T0001,T0003	C0002	35.9	0.4523
T0005	C0009	14.77	0.6254
T0003,T0005	C0011	31.78	0.3801
T0004,T0005	C0008	35.03	0.1382
T0001,T0006	C0009	46.31	0.544
T0001,T0002	C0012	50.54	0.0966
T0005,T0006	C0005	28.83	0.1771
T0006	C0011	26.68	0.3365
T0003	C0006	21.41	0.3833
T0005,T0006	C0011	53.37	0.2008
T0001,T0005	C0006	43.32	0.3628
T0001,T0003	C0003	45.9	0.4636
T0002,T0003	C0004	24.49	0.4089
T0002,T0004	C0009	50.68	0.5276
T0002,T0006	C0009	51.14	0.5802
T0005,T0006	C0007	44.4	0.1903
T0001,T0006	C0007	42.77	0.1067
T0002,T0003	C0009	42.12	0.4104
T0001,T0006	C0011	54.0	0.2391
T0006	C0002	23.91	0.5255
T0001	C0001	19.81	0.438
T0002,T0003	C0012	39.44	0.4559
T0001,T0002	C0003	45.82	0.3579
T0002,T0006	C0012	48.9	0.385
T0001,T0003	C0005	37.25	0.1332
T0002,T0005	C0009	39.99	0.4435
T0001	C0006	15.61	0.6083
T0002,T0006	C0008	44.82	0.1705
T0002,T0005	C0001	27.28	0.1407
T0003,T0004	C0004	25.73	0.3306
T0002	C0007	22.86	0.7493
T0003,T0004	C0006	50.53	0.238
T0005	C0004	24.59	0.9017
T0001,T0003	C0009	24.07	0.3923
T0001,T0002	C0001	33.93	0.0609
T0001,T0004	C0007	33.09	0.2293
T0004	C0011	19.65	0.4739
T0003,T0005	C0010	35.0	0.3004
T0005	C0007	22.93	0.5671
T0003,T0006	C0006	35.56	0.2126
T0002,T0006	C0007	44.42	0.251
T0001,T0006	C0002	38.41	0.3762
T0001,T0003	C0003	50.18	0.4636
T0004	C0002	25.11	0.7679
T0002,T0004	C0008	36.73	0.1863
T0005	C0012	31.55	0.8054
T0001,T0003	C0007	42.77	0.3275
T0002	C0006	26.54	0.4747
T0001,T0004	C0010	26.86	0.326
T0003,T0006	C0003	33.59	0.4591
T0004,T0005	C0002	39.78	0.3148
T0001,T0005	C0001	32.65	0.3099
T0001,T0005	C0008	48.88	0.2679
T0001,T0005	C0002	34.08	0.2927
