task_id_list	courier_id	total_score	willingness
T007646	C00148	34.830	0.6450
T007646	C00153	16.258	0.7056
T007646	C00281	20.457	0.3490
T007646	C00399	23.457	0.1894
T007646	C00434	35.254	0.4153
T007646	C00463	12.877	0.5721
T007646	C00566	30.418	0.5385
T007646	C00711	16.607	0.2455
T007646	C00802	19.727	0.6435
T007646	C00852	13.965	0.5605
T007646	C00861	19.532	0.4100
T007646	C00870	13.165	0.5994
T007646	C00875	18.785	0.7384
T007646	C00944	21.477	0.6684
T007646	C01082	17.832	0.7145
T007646	C01224	17.064	0.5661
T007646	C01273	11.558	0.2134
T007646	C01318	24.015	0.6516
T007646	C01352	11.403	0.7384
T007646	C01361	12.861	0.5496
T007646	C01408	17.812	0.3999
T007646	C01516	17.344	0.5087
T007646	C01544	15.945	0.6637
T007646	C01676	17.667	0.6440
T007646	C01684	31.877	0.6277
T007646	C01734	18.098	0.5421
T007646	C01791	18.382	0.4798
T007646	C01810	21.805	0.6416
T007646	C01877	34.554	0.2808
T007646	C01970	19.783	0.5949
T007646	C02032	27.645	0.5842
T007646	C02078	16.786	0.7067
T007646	C02182	24.676	0.6075
T007646	C02276	17.382	0.2796
T007646	C02368	31.599	0.6197
T007646	C02535	21.635	0.5426
T007646	C02550	17.480	0.5954
T007646	C02568	32.362	0.2835
T007646	C02583	31.320	0.4032
T007646	C02675	17.539	0.5380
T007646	C02976	19.736	0.3690
T007646	C03062	11.837	0.6662
T007646	C03135	31.401	0.4840
T007646	C03144	14.652	0.5492
T007646	C03151	30.380	0.6904
T007646	C03169	19.474	0.6964
T007646	C03273	18.078	0.6731
T007646	C03290	29.167	0.4336
T007646	C03302	12.582	0.7384
T007646	C03559	22.777	0.6227
T007646	C03596	26.331	0.3923
T007646	C03692	14.919	0.4952
T007646	C04029	16.251	0.4607
T007646	C04032	20.979	0.5130
T007646	C04121	30.690	0.4765
T007646	C04128	14.157	0.5498
T007646	C04202	16.353	0.6142
T007646	C04207	25.318	0.6384
T007646	C04320	14.319	0.6494
T007646	C04709	10.885	0.5383
T017328	C00148	9.758	0.6684
T017328	C00153	24.738	0.6077
T017328	C00281	28.493	0.3885
T017328	C00399	33.533	0.1930
T017328	C00434	8.617	0.3674
T017328	C00463	13.742	0.5096
T017328	C00566	10.048	0.5530
T017328	C00711	40.946	0.2735
T017328	C00802	20.471	0.5908
T017328	C00852	13.989	0.5409
T017328	C00861	18.764	0.4379
T017328	C00870	18.789	0.5362
T017328	C00875	26.233	0.7381
T017328	C00944	20.594	0.5744
T017328	C01082	18.682	0.6180
T017328	C01224	23.496	0.4950
T017328	C01273	9.014	0.2452
T017328	C01318	22.334	0.5881
T017328	C01352	33.447	0.7033
T017328	C01361	21.486	0.6682
T017328	C01408	13.724	0.3734
T017328	C01516	18.188	0.5258
T017328	C01544	11.318	0.7384
T017328	C01676	42.171	0.5230
T017328	C01684	18.857	0.7148
T017328	C01734	14.026	0.5452
T017328	C01791	32.179	0.5510
T017328	C01810	37.342	0.5396
T017328	C01877	17.655	0.3584
T017328	C01970	15.903	0.5906
T017328	C02032	29.992	0.4914
T017328	C02078	18.626	0.6216
T017328	C02182	10.214	0.5572
T017328	C02276	16.946	0.2990
T017328	C02368	25.604	0.5141
T017328	C02535	16.456	0.4905
T017328	C02550	20.071	0.5993
T017328	C02568	23.706	0.3157
T017328	C02583	27.027	0.4372
T017328	C02675	25.861	0.4384
T017328	C02976	17.862	0.3864
T017328	C03062	26.101	0.5638
T017328	C03135	27.569	0.4518
T017328	C03144	22.733	0.5115
T017328	C03151	15.139	0.5698
T017328	C03169	25.366	0.5931
T017328	C03273	13.096	0.5643
T017328	C03290	17.449	0.3887
T017328	C03302	27.618	0.7070
T017328	C03559	20.804	0.6602
T017328	C03596	17.986	0.4962
T017328	C03692	16.981	0.5917
T017328	C04029	23.413	0.3998
T017328	C04032	39.292	0.4493
T017328	C04121	19.016	0.5238
T017328	C04128	20.248	0.5110
T017328	C04202	17.238	0.5414
T017328	C04207	28.732	0.5621
T017328	C04320	28.371	0.6697
T017328	C04709	9.735	0.4690
T017334	C00148	18.840	0.7384
T017334	C00153	14.260	0.6359
T017334	C00281	17.816	0.4718
T017334	C00399	26.293	0.2085
T017334	C00434	28.633	0.3984
T017334	C00463	23.196	0.6220
T017334	C00566	16.886	0.6797
T017334	C00711	20.909	0.2950
T017334	C00802	14.594	0.7282
T017334	C00852	16.646	0.6064
T017334	C00861	25.012	0.4984
T017334	C00870	30.080	0.5425
T017334	C00875	20.890	0.7384
T017334	C00944	18.393	0.6893
T017334	C01082	27.820	0.6883
T017334	C01224	23.535	0.5690
T017334	C01273	23.437	0.2253
T017334	C01318	25.165	0.7280
T017334	C01352	16.616	0.6861
T017334	C01361	12.456	0.6720
T017334	C01408	25.467	0.3966
T017334	C01516	12.161	0.6914
T017334	C01544	8.047	0.7384
T017334	C01676	27.909	0.5610
T017334	C01684	24.823	0.7384
T017334	C01734	11.836	0.6866
T017334	C01791	16.910	0.5531
T017334	C01810	23.111	0.5544
T017334	C01877	17.383	0.3208
T017334	C01970	24.679	0.6422
T017334	C02032	23.334	0.5155
T017334	C02078	18.945	0.6680
T017334	C02182	34.454	0.5673
T017334	C02276	8.434	0.3393
T017334	C02368	17.350	0.5193
T017334	C02535	14.365	0.5873
T017334	C02550	22.712	0.5422
T017334	C02568	30.268	0.3340
T017334	C02583	9.718	0.5236
T017334	C02675	21.380	0.5622
T017334	C02976	11.893	0.4371
T017334	C03062	20.161	0.6383
T017334	C03135	16.595	0.5330
T017334	C03144	20.096	0.5380
T017334	C03151	23.688	0.5193
T017334	C03169	20.619	0.6118
T017334	C03273	15.235	0.6479
T017334	C03290	13.457	0.4809
T017334	C03302	23.490	0.7384
T017334	C03559	9.711	0.5811
T017334	C03596	16.448	0.4330
T017334	C03692	9.841	0.7384
T017334	C04029	11.329	0.4929
T017334	C04032	10.458	0.5663
T017334	C04121	13.027	0.5751
T017334	C04128	12.814	0.6002
T017334	C04202	10.245	0.6020
T017334	C04207	25.521	0.7384
T017334	C04320	24.302	0.6757
T017334	C04709	12.307	0.5847
T052624	C00148	22.714	0.6152
T052624	C00153	19.572	0.6169
T052624	C00281	38.552	0.3761
T052624	C00399	28.301	0.2035
T052624	C00434	26.201	0.4469
T052624	C00463	31.716	0.5633
T052624	C00566	46.601	0.5496
T052624	C00711	18.305	0.2515
T052624	C00802	19.273	0.6219
T052624	C00852	12.952	0.5891
T052624	C00861	22.776	0.4724
T052624	C00870	32.280	0.5460
T052624	C00875	16.845	0.7384
T052624	C00944	20.345	0.6714
T052624	C01082	20.124	0.5997
T052624	C01224	14.224	0.5143
T052624	C01273	25.870	0.1972
T052624	C01318	19.288	0.6354
T052624	C01352	10.447	0.6651
T052624	C01361	41.587	0.4783
T052624	C01408	18.778	0.4104
T052624	C01516	12.682	0.5530
T052624	C01544	23.054	0.7291
T052624	C01676	11.631	0.6733
T052624	C01684	14.592	0.5865
T052624	C01734	29.372	0.5767
T052624	C01791	24.667	0.5759
T052624	C01810	22.672	0.5852
T052624	C01877	45.623	0.2682
T052624	C01970	32.147	0.6199
