task_id_list	courier_id	total_score	willingness
T005187	C00029	26.880	0.6308
T005187	C00074	31.761	0.5304
T005187	C00082	31.602	0.3913
T005187	C00183	27.422	0.7301
T005187	C00194	26.688	0.4280
T005187	C00224	21.402	0.7450
T005187	C00337	21.293	0.5581
T005187	C00414	28.578	0.3993
T005187	C00576	27.526	0.6694
T005187	C00594	24.436	0.6354
T005187	C00633	32.276	0.3742
T005187	C00705	24.514	0.4871
T005187	C00800	28.152	0.4618
T005187	C00847	23.971	0.7450
T005187	C00872	23.276	0.6739
T005187	C00912	26.604	0.3332
T005187	C00920	26.238	0.4253
T005187	C00957	25.044	0.6028
T005187	C00983	23.084	0.7450
T005187	C01017	30.847	0.2650
T005187	C01101	25.208	0.4227
T005187	C01103	29.225	0.5738
T005187	C01112	31.491	0.5520
T005187	C01136	24.352	0.7380
T005187	C01141	29.094	0.6175
T005187	C01145	23.807	0.6571
T005187	C01175	24.898	0.7329
T005187	C01254	24.772	0.7450
T005187	C01309	25.024	0.6859
T005187	C01310	32.864	0.4817
T005187	C01360	28.927	0.5268
T005187	C01394	30.272	0.6079
T005187	C01413	24.267	0.7450
T005187	C01458	22.456	0.4682
T005187	C01467	26.212	0.2235
T005187	C01527	21.630	0.6012
T005187	C01572	23.475	0.4788
T005187	C01582	21.222	0.7450
T005187	C01653	25.644	0.5346
T005187	C01688	21.686	0.6920
T005187	C01704	29.127	0.4909
T005187	C01737	29.543	0.3278
T005187	C01747	29.913	0.6431
T005187	C01896	32.198	0.4468
T005187	C01926	25.870	0.6682
T005187	C01937	30.167	0.4995
T005187	C01957	29.460	0.4568
T005187	C01974	25.650	0.6917
T005187	C02067	23.930	0.4780
T005187	C02123	31.341	0.4244
T005187	C02188	27.549	0.2761
T005187	C02249	29.479	0.6742
T005187	C02361	31.945	0.4391
T005187	C02389	24.553	0.6295
T005187	C02402	24.465	0.6557
T005187	C02454	26.703	0.4152
T005187	C02461	28.054	0.6109
T005187	C02609	22.829	0.4637
T005187	C02695	21.064	0.7092
T005187	C02746	29.028	0.4055
T005187	C02989	26.397	0.6389
T005187	C03008	21.527	0.6401
T005187	C03074	33.582	0.4419
T005187	C03079	23.468	0.7326
T005187	C03103	23.244	0.7450
T005187	C03117	27.276	0.7450
T005187	C03200	28.780	0.6882
T005187	C03280	22.246	0.7101
T005187	C03358	22.649	0.6769
T005187	C03373	21.042	0.4354
T005187	C03504	27.704	0.6161
T005187	C03526	24.854	0.6607
T005187	C03546	29.192	0.6044
T005187	C03563	25.323	0.6523
T005187	C03998	21.624	0.5398
T005187	C04086	29.881	0.4723
T005187	C04207	29.874	0.5609
T005187	C04346	22.686	0.5186
T005187	C04635	22.521	0.4749
T005187	C04725	27.103	0.5867
T011701	C00029	32.248	0.5071
T011701	C00074	25.381	0.5888
T011701	C00082	30.541	0.4006
T011701	C00183	28.117	0.6743
T011701	C00194	28.594	0.4634
T011701	C00224	27.951	0.7450
T011701	C00337	27.293	0.4757
T011701	C00414	23.870	0.4510
T011701	C00576	25.713	0.7450
T011701	C00594	26.324	0.5492
T011701	C00633	28.341	0.4495
T011701	C00705	27.063	0.4116
T011701	C00800	20.469	0.6886
T011701	C00847	27.413	0.7450
T011701	C00872	31.435	0.5812
T011701	C00912	23.886	0.3611
T011701	C00920	28.780	0.4477
T011701	C00957	28.168	0.5747
T011701	C00983	29.005	0.5965
T011701	C01017	27.021	0.3277
T011701	C01101	31.322	0.3471
T011701	C01103	27.708	0.5191
T011701	C01112	25.574	0.6462
T011701	C01136	26.567	0.6789
T011701	C01141	21.051	0.6359
T011701	C01145	30.112	0.5262
T011701	C01175	26.546	0.7450
T011701	C01254	24.044	0.7450
T011701	C01309	24.287	0.7088
T011701	C01310	22.225	0.6410
T011701	C01360	24.663	0.5940
T011701	C01394	30.101	0.6148
T011701	C01413	27.773	0.6568
T011701	C01458	28.690	0.3579
T011701	C01467	23.782	0.2510
T011701	C01527	26.490	0.5077
T011701	C01572	29.073	0.4461
T011701	C01582	26.926	0.6322
T011701	C01653	25.247	0.5520
T011701	C01688	27.112	0.6537
T011701	C01704	24.293	0.5557
T011701	C01737	28.300	0.3600
T011701	C01747	21.218	0.7450
T011701	C01896	24.856	0.4748
T011701	C01926	28.376	0.5771
T011701	C01937	27.058	0.6421
T011701	C01957	22.861	0.5579
T011701	C01974	25.753	0.6387
T011701	C02067	27.418	0.4388
T011701	C02123	30.211	0.4927
T011701	C02188	25.006	0.2916
T011701	C02249	24.261	0.6713
T011701	C02361	25.375	0.6316
T011701	C02389	27.799	0.5147
T011701	C02402	29.744	0.5469
T011701	C02454	23.603	0.4113
T011701	C02461	24.931	0.6961
T011701	C02609	27.867	0.3963
T011701	C02695	27.115	0.5577
T011701	C02746	35.126	0.3813
T011701	C02989	32.169	0.5402
T011701	C03008	27.132	0.4888
T011701	C03074	22.890	0.6129
T011701	C03079	30.869	0.5232
T011701	C03103	26.851	0.6581
T011701	C03117	27.712	0.7176
T011701	C03200	24.204	0.6812
T011701	C03280	30.736	0.6229
T011701	C03358	26.617	0.5720
T011701	C03373	28.447	0.4369
T011701	C03504	25.226	0.6197
T011701	C03526	26.284	0.6398
T011701	C03546	22.381	0.7219
T011701	C03563	27.701	0.6220
T011701	C03998	29.381	0.4658
T011701	C04086	20.763	0.5542
T011701	C04207	24.392	0.6409
T011701	C04346	28.544	0.5027
T011701	C04635	27.975	0.4097
T011701	C04725	29.594	0.5470
T011710	C00029	17.625	0.6955
T011710	C00074	24.792	0.6372
T011710	C00082	20.478	0.4589
T011710	C00183	20.745	0.7450
T011710	C00194	25.321	0.4405
T011710	C00224	18.477	0.7450
T011710	C00337	19.921	0.5411
T011710	C00414	23.657	0.4521
T011710	C00576	25.216	0.6548
T011710	C00594	19.308	0.6651
T011710	C00633	25.447	0.4523
T011710	C00705	18.457	0.5720
T011710	C00800	23.505	0.5577
T011710	C00847	14.881	0.7450
T011710	C00872	21.233	0.6014
T011710	C00912	20.120	0.3721
T011710	C00920	17.229	0.5800
T011710	C00957	24.378	0.6121
T011710	C00983	20.760	0.6940
T011710	C01017	22.639	0.3366
T011710	C01101	15.782	0.5311
T011710	C01103	25.908	0.5868
T011710	C01112	23.455	0.6868
T011710	C01136	17.172	0.7450
T011710	C01141	21.773	0.6321
T011710	C01145	21.675	0.6143
T011710	C01175	15.861	0.7450
T011710	C01254	18.715	0.7450
T011710	C01309	21.606	0.6309
T011710	C01310	26.556	0.6360
T011710	C01360	21.912	0.5710
T011710	C01394	21.421	0.6280
T011710	C01413	20.113	0.7450
T011710	C01458	19.740	0.3886
T011710	C01467	20.754	0.2627
T011710	C01527	18.902	0.5899
T011710	C01572	21.798	0.4499
T011710	C01582	20.277	0.7450
T011710	C01653	18.155	0.6353
T011710	C01688	20.162	0.6750
T011710	C01704	20.675	0.5320
T011710	C01737	26.625	0.3596
T011710	C01747	24.376	0.6273
T011710	C01896	25.256	0.5240
T011710	C01926	20.751	0.6388
T011710	C01937	22.423	0.5949
T011710	C01957	23.740	0.4545
T011710	C01974	21.601	0.6917
T011710	C02067	15.944	0.6205
T011710	C02123	21.074	0.4759
T011710	C02188	22.047	0.2923
T011710	C02249	27.437	0.7146
T011710	C02361	26.135	0.5263
T011710	C02389	24.762	0.5597
T011710	C02402	15.948	0.7190
T011710	C02454	19.611	0.4702
T011710	C02461	21.708	0.7098
T011710	C02609	18.534	0.4171
T011710	C02695	19.978	0.6142
T011710	C02746	18.972	0.5313
T011710	C02989	23.149	0.5762
T011710	C03008	20.100	0.6315
T011710	C03074	27.248	0.4894
T011710	C03079	21.940	0.6553
T011710	C03103	19.347	0.7293
T011710	C03117	20.329	0.7450
T011710	C03200	22.019	0.7450
T011710	C03280	20.333	0.7293
T011710	C03358	18.675	0.6703
T011710	C03373	20.510	0.5083
T011710	C03504	24.624	0.7101
T011710	C03526	21.052	0.7052
T011710	C03546	23.586	0.6590
T011710	C03563	20.550	0.7450
T011710	C03998	20.285	0.5576
T011710	C04086	23.485	0.4855
