task_id_list	courier_id	total_score	willingness
T008038	C02257	12.697	0.1493
T008038	C02635	13.716	0.2650
T008038	C01686	13.338	0.2213
T008038	C03592	12.658	0.2456
T008038	C01348	14.301	0.1937
T008038	C00391	11.615	0.1366
T008038	C02221	12.260	0.3152
T008038	C01718	11.683	0.2458
T008038	C00492	14.422	0.0846
T008038	C00813	12.992	0.2301
T008038	C00538	10.540	0.3036
T008038	C00407	11.464	0.2017
T008038	C00237	14.967	0.1534
T008038	C02022	12.572	0.1809
T008038	C01389	13.985	0.2305
T008038	C01457	10.913	0.2400
T008038	C01377	10.985	0.2401
T008038	C00411	10.670	0.2650
T008038	C00168	10.964	0.2332
T011239	C02257	11.011	0.1657
T011239	C02221	11.443	0.2981
T011239	C02635	11.082	0.2725
T011239	C02659	14.093	0.2517
T011239	C01264	13.114	0.1210
T011239	C01686	11.110	0.2414
T011239	C03592	11.648	0.2511
T011239	C01348	12.139	0.2216
T011239	C00391	10.878	0.1500
T011239	C00421	14.022	0.2273
T011239	C03850	13.483	0.2496
T011239	C03596	12.210	0.2233
T011239	C01718	11.021	0.2616
T011239	C00237	13.377	0.1592
T011239	C00407	10.529	0.2130
T011239	C00492	13.417	0.0872
T011239	C00856	12.971	0.3176
T011239	C00813	12.981	0.2140
T011239	C00538	10.525	0.2794
T024206	C01348	11.970	0.2040
T024206	C03592	11.041	0.2525
T024206	C01686	10.543	0.2202
T024206	C02635	11.065	0.2991
T024206	C00391	10.187	0.1606
T024206	C02257	10.725	0.1798
T024206	C01718	11.218	0.2534
T024206	C00538	10.284	0.2833
T024206	C02022	12.500	0.1940
T024206	C00813	12.290	0.2470
T024206	C00492	13.117	0.0919
T024206	C00411	10.541	0.2625
T024206	C02311	10.189	0.1373
T024206	C01377	9.801	0.2851
T024206	C01457	10.533	0.2225
T024206	C00168	10.213	0.2715
T024206	C02518	10.600	0.1934
T024206	C01389	13.302	0.2172
T024206	C00988	10.610	0.3203
T030467	C02192	18.636	0.2564
T030467	C02898	17.192	0.2636
T030467	C02794	17.880	0.2029
T030467	C02143	18.756	0.2210
T030467	C03385	17.603	0.3083
T030467	C00306	19.432	0.1476
T030467	C01715	22.353	0.0776
T030467	C01044	16.478	0.3264
T030467	C01552	19.364	0.2614
T030467	C01410	21.743	0.2197
T030467	C00776	20.153	0.1833
T030467	C02484	21.468	0.1992
T030467	C01773	21.238	0.1779
T030467	C01623	17.842	0.2422
T030467	C04495	16.415	0.3127
T030467	C00542	19.679	0.2268
T030467	C01933	21.629	0.1959
T030467	C01857	17.993	0.2147
T030467	C00615	16.345	0.2908
T030468	C02257	10.688	0.1526
T030468	C02635	10.685	0.3001
T030468	C01686	10.868	0.2129
T030468	C03592	10.568	0.2344
T030468	C01348	11.388	0.2204
T030468	C02221	11.478	0.3157
T030468	C00391	10.146	0.1575
T030468	C01718	10.904	0.2547
T030468	C00492	12.034	0.0905
T030468	C02659	13.156	0.2705
T030468	C00407	9.821	0.2163
T030468	C01264	12.970	0.1388
T030468	C00237	12.768	0.1602
T030468	C00813	12.603	0.2410
T030468	C00538	9.819	0.3399
T030468	C02022	12.113	0.2018
T030468	C01389	11.821	0.2221
T030468	C01457	10.170	0.2116
T030468	C00198	9.879	0.2967
T030475	C02556	9.726	0.2374
T030475	C00198	6.775	0.3369
T030475	C00407	7.225	0.2769
T030475	C00591	8.214	0.1392
T030475	C00736	8.746	0.1895
T030475	C02597	7.293	0.3611
T030475	C00237	9.065	0.1713
T030475	C00287	8.242	0.1483
T030475	C01389	7.848	0.2466
T030475	C00492	8.466	0.1131
T030475	C00813	8.417	0.2408
T030475	C00538	6.211	0.3308
T030475	C01827	8.128	0.2630
T030475	C00856	8.234	0.3409
T030475	C01457	6.657	0.2608
T030475	C02022	7.666	0.2251
T030475	C02700	7.141	0.3746
T030475	C00168	6.718	0.3062
T030475	C01377	6.852	0.3245
T040096	C01348	12.186	0.2298
T040096	C03592	12.253	0.2566
T040096	C01686	11.893	0.2079
T040096	C00391	11.208	0.1678
T040096	C02635	11.864	0.3166
T040096	C02257	11.482	0.1730
T040096	C01718	11.125	0.2371
T040096	C00492	12.033	0.0902
T040096	C00538	9.945	0.3124
T040096	C00813	11.839	0.2628
T040096	C02022	10.991	0.2328
T040096	C01457	9.317	0.2413
T040096	C00411	9.504	0.3009
T040096	C01377	9.700	0.2802
T040096	C00168	9.389	0.2968
T040096	C02311	9.385	0.1560
T040096	C02518	9.421	0.2254
T040096	C01389	12.248	0.2678
T040096	C02221	11.912	0.3102
T078127	C00941	11.887	0.2501
T078127	C00988	10.262	0.2810
T078127	C03437	11.061	0.2697
T078127	C01164	10.897	0.3059
T078127	C02700	10.796	0.3521
T078127	C02311	10.429	0.1409
T078127	C02518	9.977	0.2032
T078127	C01827	11.688	0.2416
T078127	C00411	10.532	0.2822
T078127	C00168	9.984	0.2279
T078127	C01377	9.912	0.2843
T078127	C01457	10.615	0.2114
T078127	C02022	12.677	0.1796
T078127	C00287	13.069	0.1164
T078127	C00538	10.829	0.3184
T078127	C02597	11.216	0.2937
T078127	C01389	13.393	0.2140
T078127	C00813	12.501	0.2273
T078127	C00736	13.070	0.1761
T096817	C01264	18.972	0.0975
T096817	C02659	19.607	0.2179
T096817	C03850	18.875	0.1876
T096817	C03596	17.936	0.1994
T096817	C00421	19.917	0.2206
T096817	C02221	18.338	0.2058
T096817	C02119	17.862	0.2638
T096817	C01131	17.620	0.1998
T096817	C02257	20.406	0.1117
T096817	C00856	18.376	0.2342
T096817	C02635	20.896	0.2225
T096817	C00237	22.898	0.1198
T096817	C01686	20.016	0.1447
T096817	C00407	17.361	0.1800
T096817	C01933	19.394	0.2027
T096817	C00391	19.586	0.1074
T096817	C00542	18.153	0.2490
T096817	C01718	19.545	0.1607
T096817	C01623	15.553	0.2605
T139376	C01686	11.415	0.2170
T139376	C02635	11.292	0.2850
T139376	C02257	11.389	0.1408
T139376	C03592	11.521	0.2370
T139376	C01348	12.790	0.2042
T139376	C00391	10.270	0.1415
T139376	C01718	10.879	0.2325
T139376	C02221	11.535	0.3166
T139376	C00492	12.613	0.1030
T139376	C00813	11.533	0.2394
T139376	C00538	8.874	0.3179
T139376	C00407	9.431	0.2313
T139376	C02022	11.301	0.2216
T139376	C01389	11.688	0.2263
T139376	C01457	9.367	0.2210
T139376	C01377	9.055	0.3026
T139376	C00411	9.010	0.2538
T139376	C00168	9.331	0.2686
T139376	C00237	12.583	0.1662
T151501	C03850	8.858	0.2559
T151501	C03596	8.458	0.2741
T151501	C01131	7.925	0.2917
T151501	C02119	8.874	0.3559
T151501	C01264	9.191	0.1464
T151501	C02659	9.916	0.2834
T151501	C00421	10.916	0.3020
T151501	C00542	10.247	0.2952
T151501	C00776	9.786	0.2505
