task_id_list	courier_id	total_score	willingness
T016928	C00036	29.137	0.5110
T016928	C00037	24.863	0.6966
T016928	C00060	22.607	0.5816
T016928	C00219	29.753	0.4954
T016928	C00227	19.708	0.6966
T016928	C00238	23.920	0.6966
T016928	C00266	28.892	0.4919
T016928	C00498	21.646	0.6966
T016928	C00524	30.580	0.4790
T016928	C00584	28.603	0.4546
T016928	C00612	25.056	0.3560
T016928	C00709	24.826	0.2623
T016928	C00752	25.281	0.5132
T016928	C00762	27.391	0.5240
T016928	C00884	28.368	0.2986
T016928	C00906	24.884	0.6966
T016928	C00954	24.279	0.6699
T016928	C01008	29.343	0.3073
T016928	C01009	26.801	0.5080
T016928	C01077	19.397	0.6966
T016928	C01078	29.033	0.5110
T016928	C01368	22.693	0.6346
T016928	C01414	25.880	0.3081
T016928	C01451	27.496	0.5204
T016928	C01587	29.493	0.5085
T016928	C01691	29.382	0.4999
T016928	C01739	21.375	0.4989
T016928	C01895	28.787	0.3616
T016928	C01955	25.203	0.6438
T016928	C01968	20.096	0.6966
T016928	C02037	25.903	0.6966
T016928	C02128	23.370	0.6966
T016928	C02201	22.342	0.6966
T016928	C02344	21.428	0.6966
T016928	C02348	29.956	0.4785
T016928	C02350	24.106	0.6556
T016928	C02373	29.808	0.5657
T016928	C02423	30.272	0.5039
T016928	C02468	19.565	0.6966
T016928	C02684	27.419	0.6247
T016928	C02740	27.062	0.5721
T016928	C02862	26.342	0.5237
T016928	C02976	25.680	0.3604
T016928	C03004	26.401	0.5031
T016928	C03010	28.883	0.3696
T016928	C03437	25.399	0.6289
T016928	C03651	28.715	0.5007
T016928	C03724	23.006	0.5959
T016928	C03796	24.663	0.6966
T016928	C03830	28.239	0.6371
T016928	C03863	23.820	0.5760
T016928	C03872	25.559	0.6308
T016928	C03960	27.550	0.6124
T016928	C03994	25.515	0.5674
T016928	C04034	21.141	0.6966
T016928	C04135	24.396	0.3865
T016928	C04137	25.785	0.5957
T016928	C04333	24.215	0.5687
T016928	C04530	23.718	0.6966
T016928	C04564	23.677	0.4505
T020169	C00036	37.764	0.5098
T020169	C00037	30.963	0.6966
T020169	C00060	33.522	0.5142
T020169	C00219	38.823	0.3914
T020169	C00227	30.705	0.6240
T020169	C00238	29.946	0.6966
T020169	C00266	37.235	0.4678
T020169	C00498	32.203	0.6232
T020169	C00524	38.332	0.4732
T020169	C00584	43.667	0.3555
T020169	C00612	36.455	0.2779
T020169	C00709	37.700	0.2383
T020169	C00752	35.092	0.4888
T020169	C00762	37.607	0.5326
T020169	C00884	42.777	0.2451
T020169	C00906	34.445	0.5874
T020169	C00954	33.214	0.5472
T020169	C01008	35.068	0.2902
T020169	C01009	41.849	0.3417
T020169	C01077	37.849	0.4647
T020169	C01078	40.193	0.3872
T020169	C01368	31.246	0.4836
T020169	C01414	31.146	0.2976
T020169	C01451	40.304	0.4001
T020169	C01587	34.184	0.5295
T020169	C01691	37.636	0.5115
T020169	C01739	34.650	0.4024
T020169	C01895	44.639	0.2616
T020169	C01955	38.004	0.5019
T020169	C01968	32.702	0.6966
T020169	C02037	31.106	0.6966
T020169	C02128	29.110	0.6966
T020169	C02201	34.897	0.6183
T020169	C02344	35.295	0.5334
T020169	C02348	35.518	0.4425
T020169	C02350	33.995	0.6155
