task_id_list	courier_id	total_score	willingness
T024623	C00125	39.556	0.5083
T024623	C00208	37.635	0.4113
T024623	C00234	38.497	0.4194
T024623	C00885	40.045	0.5154
T024623	C01530	37.828	0.6669
T024623	C01581	40.361	0.3132
T024623	C01603	37.565	0.6111
T024623	C01699	38.108	0.6529
T024623	C01787	37.659	0.7777
T024623	C02322	37.652	0.5018
T024623	C02483	36.517	0.5609
T024623	C02666	37.447	0.7612
T024623	C03048	37.836	0.5762
T024623	C03138	37.185	0.4326
T024623	C03290	38.017	0.4987
T024623	C03474	38.098	0.6021
T024623	C03842	38.787	0.6804
T024623	C03931	38.230	0.6296
T024623	C04375	37.689	0.6023
T024623	C04501	38.338	0.6298
T024624	C00125	44.961	0.3098
T024624	C00208	44.149	0.3097
T024624	C00234	42.977	0.2533
T024624	C00885	45.857	0.3811
T024624	C01530	43.111	0.4363
T024624	C01581	46.646	0.2557
T024624	C01603	43.496	0.3895
T024624	C01699	44.018	0.3942
T024624	C01787	43.728	0.4896
T024624	C02322	43.096	0.3480
T024624	C02483	41.589	0.3723
T024624	C02666	41.383	0.5294
T024624	C03048	43.835	0.4222
T024624	C03138	43.045	0.3065
T024624	C03290	43.419	0.3234
T024624	C03474	44.725	0.3729
T024624	C03842	43.925	0.4928
T024624	C03931	43.756	0.4099
T024624	C04375	42.920	0.4630
T024624	C04501	43.292	0.4539
T053416	C00125	37.012	0.5626
T053416	C00208	35.111	0.6067
T053416	C00234	35.329	0.4919
T053416	C00885	37.140	0.5814
T053416	C01530	34.987	0.8495
T053416	C01581	37.619	0.4515
T053416	C01603	35.088	0.6476
T053416	C01699	34.685	0.7845
T053416	C01787	35.604	0.8734
T053416	C02322	35.366	0.7176
T053416	C02483	34.149	0.7655
T053416	C02666	34.491	0.9488
T053416	C03048	34.845	0.7610
T053416	C03138	35.066	0.5711
T053416	C03290	35.369	0.6131
T053416	C03474	36.382	0.6707
T053416	C03842	36.037	0.8222
T053416	C03931	35.214	0.8185
T053416	C04375	35.793	0.7412
T053416	C04501	35.395	0.7575
T062781	C00125	36.503	0.6393
T062781	C00208	37.522	0.4332
T062781	C00234	35.827	0.4877
T062781	C00885	35.987	0.5843
T062781	C01530	36.717	0.7216
T062781	C01581	36.867	0.4338
T062781	C01603	38.406	0.5844
T062781	C01699	37.082	0.6506
T062781	C01787	36.294	0.7638
T062781	C02322	36.487	0.5867
T062781	C02483	35.485	0.5893
T062781	C02666	35.760	0.9277
T062781	C03048	37.873	0.6136
T062781	C03138	36.150	0.4362
T062781	C03290	36.206	0.5133
T062781	C03474	36.914	0.6400
T062781	C03842	35.762	0.7814
T062781	C03931	36.348	0.7279
T062781	C04375	35.309	0.8558
T062781	C04501	35.508	0.8006
T078517	C00125	38.899	0.5498
T078517	C00208	37.784	0.5244
T078517	C00234	37.468	0.4062
T078517	C00885	39.332	0.5217
T078517	C01530	37.321	0.6720
T078517	C01581	39.027	0.3314
T078517	C01603	37.579	0.6074
T078517	C01699	36.999	0.6959
T078517	C01787	37.388	0.7478
T078517	C02322	37.373	0.5681
T078517	C02483	35.610	0.6605
T078517	C02666	36.235	0.9190
T078517	C03048	37.695	0.6476
T078517	C03138	37.148	0.5128
T078517	C03290	37.379	0.4675
T078517	C03474	37.851	0.5628
T078517	C03842	37.420	0.7525
T078517	C03931	37.179	0.7120
T078517	C04375	37.276	0.7268
T078517	C04501	37.148	0.6315
T094131	C00125	38.038	0.5514
T094131	C00208	36.843	0.4628
T094131	C00234	36.661	0.3811
T094131	C00885	37.782	0.5586
T094131	C01530	37.069	0.7028
T094131	C01581	39.068	0.3988
T094131	C01603	36.858	0.5759
T094131	C01699	36.831	0.6854
T094131	C01787	37.069	0.6704
T094131	C02322	36.348	0.5047
T094131	C02483	35.276	0.6059
T094131	C02666	35.652	0.7925
T094131	C03048	36.919	0.6121
T094131	C03138	36.943	0.4658
T094131	C03290	36.597	0.5000
T094131	C03474	37.996	0.6599
T094131	C03842	37.172	0.7757
T094131	C03931	36.146	0.6242
T094131	C04375	36.654	0.6085
T094131	C04501	36.513	0.7137
T097177	C00125	35.690	0.6267
T097177	C00208	37.300	0.4429
T097177	C00234	36.596	0.4156
T097177	C00885	36.433	0.5280
T097177	C01530	36.511	0.5998
T097177	C01581	36.688	0.3693
T097177	C01603	37.823	0.5753
T097177	C01699	37.997	0.5412
T097177	C01787	36.109	0.6745
T097177	C02322	36.798	0.5021
T097177	C02483	37.237	0.5192
T097177	C02666	36.733	0.6660
T097177	C03048	38.199	0.4684
T097177	C03138	36.421	0.4056
T097177	C03290	37.358	0.4102
T097177	C03474	35.645	0.7211
T097177	C03842	36.121	0.7501
T097177	C03931	37.929	0.5619
T097177	C04375	36.007	0.7215
T097177	C04501	35.971	0.6580
T097237	C00125	36.252	0.5458
T097237	C00208	37.989	0.4238
T097237	C00234	36.041	0.5164
T097237	C00885	36.614	0.6050
T097237	C01530	36.938	0.6582
T097237	C01581	37.124	0.4023
T097237	C01603	38.137	0.4858
T097237	C01699	37.274	0.6388
T097237	C01787	36.550	0.7196
T097237	C02322	36.706	0.5414
T097237	C02483	35.482	0.6410
T097237	C02666	35.429	0.9139
T097237	C03048	37.546	0.6139
