task_id_list	courier_id	total_score	willingness
T000828	C00274	26.820	0.5892
T000828	C00402	28.037	0.4798
T000828	C00589	26.265	0.3190
T000828	C00689	27.301	0.6028
T000828	C00811	32.882	0.1834
T000828	C01186	33.229	0.4216
T000828	C01361	31.663	0.4755
T000828	C01376	29.826	0.5101
T000828	C01508	25.378	0.6083
T000828	C01552	28.781	0.6068
T000828	C01626	25.788	0.6944
T000828	C01728	28.481	0.6632
T000828	C01748	32.249	0.4010
T000828	C01801	24.258	0.6944
T000828	C01891	32.181	0.3201
T000828	C01894	27.471	0.5942
T000828	C01908	32.568	0.4825
T000828	C02321	33.403	0.5454
T000828	C02541	28.485	0.6148
T000828	C02616	25.326	0.3250
T000828	C02620	29.529	0.5305
T000828	C02793	28.587	0.3797
T000828	C02829	27.924	0.6944
T000828	C02861	29.988	0.6944
T000828	C03137	31.287	0.4892
T000828	C03198	31.076	0.6120
T000828	C03235	33.007	0.2443
T000828	C04007	27.779	0.6835
T007265	C00274	14.104	0.6944
T007265	C00402	15.629	0.5144
T007265	C00589	13.786	0.4164
T007265	C00689	19.454	0.6944
T007265	C00811	20.317	0.2072
T007265	C01186	22.550	0.4812
T007265	C01361	14.360	0.6754
T007265	C01376	19.804	0.6624
T007265	C01508	13.846	0.6944
T007265	C01552	18.890	0.6944
T007265	C01626	13.192	0.6944
T007265	C01728	17.877	0.6944
T007265	C01748	15.771	0.4960
T007265	C01801	15.415	0.6944
T007265	C01891	17.572	0.4534
T007265	C01894	12.415	0.6944
T007265	C01908	14.278	0.6944
T007265	C02321	13.984	0.6944
T007265	C02541	16.720	0.6944
T007265	C02616	16.492	0.3790
T007265	C02620	14.474	0.6944
T007265	C02793	15.483	0.5500
T007265	C02829	13.276	0.6944
T007265	C02861	15.497	0.6944
T007265	C03137	13.320	0.6944
T007265	C03198	14.528	0.6944
T007265	C03235	16.234	0.3379
T007265	C04007	14.608	0.6944
T010538	C00274	37.265	0.5458
T010538	C00402	39.862	0.3255
T010538	C00589	38.763	0.2794
T010538	C00689	41.749	0.4874
T010538	C00811	48.848	0.1437
T010538	C01186	50.216	0.3216
T010538	C01361	43.226	0.4278
T010538	C01376	46.310	0.4373
T010538	C01508	37.647	0.4778
T010538	C01552	43.988	0.5353
T010538	C01626	37.129	0.6254
T010538	C01728	44.495	0.5220
T010538	C01748	44.501	0.2985
T010538	C01801	38.119	0.6238
T010538	C01891	49.152	0.2847
T010538	C01894	38.258	0.4641
T010538	C01908	43.790	0.4022
T010538	C02321	43.190	0.4591
T010538	C02541	41.012	0.5372
T010538	C02616	42.024	0.2718
T010538	C02620	40.747	0.4811
T010538	C02793	40.495	0.3040
T010538	C02829	37.506	0.5669
T010538	C02861	41.700	0.5396
T010538	C03137	41.334	0.4143
T010538	C03198	42.776	0.5007
T010538	C03235	44.178	0.1956
