task_id_list	courier_id	total_score	willingness
T237452	C00154	16.635	0.3575
T237452	C00191	14.742	0.2473
T237452	C01070	15.656	0.3839
T237452	C01078	14.385	0.3470
T237452	C01525	13.637	0.3953
T237452	C01667	14.169	0.4084
T237452	C01784	13.979	0.4084
T237452	C02399	13.452	0.4084
T237452	C02659	16.660	0.3502
T237452	C03596	13.378	0.3386
T243217	C00154	14.315	0.3568
T243217	C00191	12.420	0.2426
T243217	C01070	12.334	0.4084
T243217	C01078	13.132	0.3476
T243217	C01525	12.295	0.4084
T243217	C01667	10.864	0.3965
T243217	C01784	11.928	0.4084
T243217	C02399	12.096	0.4084
T243217	C02659	13.871	0.3348
T243217	C03596	10.604	0.3833
T300199	C00154	12.698	0.4051
T300199	C00191	11.472	0.2921
T300199	C01070	12.111	0.4084
T300199	C01078	11.260	0.4084
T300199	C01525	10.489	0.4084
T300199	C01667	10.946	0.4084
T300199	C01784	10.847	0.4084
T300199	C02399	10.166	0.4084
T300199	C02659	11.995	0.3921
T300199	C03596	9.940	0.4084
T325345	C00154	13.848	0.4084
T325345	C00191	11.798	0.2804
T325345	C01070	13.216	0.4084
T325345	C01078	12.183	0.3301
T325345	C01525	12.007	0.4084
T325345	C01667	11.440	0.3730
T325345	C01784	11.643	0.4084
T325345	C02399	11.027	0.4084
T325345	C02659	13.044	0.3858
T325345	C03596	11.783	0.3148
T385844	C00154	12.142	0.4084
T385844	C00191	9.971	0.3271
T385844	C01070	11.033	0.4084
T385844	C01078	10.702	0.3799
T385844	C01525	9.545	0.4084
T385844	C01667	9.723	0.4084
T385844	C01784	9.775	0.4084
T385844	C02399	9.729	0.4084
T385844	C02659	11.514	0.3937
T385844	C03596	9.198	0.4084
T497211	C00154	15.115	0.3259
T497211	C00191	13.446	0.2414
T497211	C01070	14.887	0.3882
T497211	C01078	13.522	0.3411
T497211	C01525	12.921	0.4084
T497211	C01667	13.110	0.3517
T497211	C01784	13.049	0.4084
T497211	C02399	13.102	0.4084
T497211	C02659	14.672	0.3228
T497211	C03596	12.494	0.3047
T237452,T243217	C02399	15.205	0.3227
T237452,T243217	C01525	15.357	0.2860
T237452,T243217	C01784	15.442	0.2808
T237452,T243217	C01070	16.960	0.2713
T237452,T243217	C01667	14.954	0.2630
T237452,T243217	C02659	17.989	0.2582
T237452,T243217	C00154	17.334	0.2548
T237452,T300199	C02399	14.035	0.3522
T237452,T300199	C01784	14.438	0.3379
T237452,T300199	C01525	14.648	0.3244
T237452,T300199	C01070	15.567	0.3024
T237452,T300199	C03596	13.156	0.2723
T237452,T300199	C01667	14.724	0.2704
T237452,T300199	C00154	17.296	0.2456
T237452,T325345	C01784	17.773	0.2803
T237452,T325345	C02399	17.902	0.2798
T237452,T325345	C01525	18.966	0.2731
T237452,T325345	C01070	19.299	0.2448
T237452,T325345	C01667	17.268	0.2273
T237452,T325345	C01078	19.928	0.2146
T237452,T325345	C02659	21.113	0.2030
T237452,T385844	C02399	13.606	0.3796
T237452,T385844	C01525	14.354	0.3417
T237452,T385844	C01784	13.793	0.3196
T237452,T385844	C01070	15.537	0.3020
T237452,T385844	C00154	16.865	0.2920
T237452,T385844	C01667	13.794	0.2747
T237452,T385844	C01078	15.009	0.2667
T237452,T497211	C02399	16.302	0.3183
T237452,T497211	C01525	16.896	0.2712
T237452,T497211	C01784	17.244	0.2706
T237452,T497211	C00154	19.335	0.2531
T237452,T497211	C01667	16.200	0.2423
T237452,T497211	C01070	18.159	0.2366
T237452,T497211	C03596	15.156	0.2281
T243217,T300199	C01784	15.102	0.3365
T243217,T300199	C01525	15.312	0.3302
T243217,T300199	C02399	13.635	0.3215
T243217,T300199	C01070	15.393	0.3059
T243217,T300199	C01667	14.501	0.2636
T243217,T300199	C02659	16.588	0.2491
T243217,T300199	C01078	15.711	0.2392
T243217,T325345	C02399	14.517	0.3201
T243217,T325345	C01784	19.081	0.2202
T243217,T325345	C01070	19.384	0.2161
T243217,T325345	C01525	18.564	0.2056
T243217,T325345	C02659	20.728	0.1899
T243217,T325345	C01667	18.073	0.1849
T243217,T325345	C00154	21.743	0.1867
T243217,T385844	C02399	12.592	0.4084
T243217,T385844	C01784	12.485	0.3671
T243217,T385844	C01667	12.052	0.3470
T243217,T385844	C01525	13.113	0.3198
T243217,T385844	C01070	14.369	0.3048
T243217,T385844	C03596	11.734	0.2916
T243217,T385844	C00154	14.863	0.2934
T243217,T497211	C02399	16.154	0.2988
T243217,T497211	C01525	16.043	0.2936
T243217,T497211	C01070	16.544	0.2774
T243217,T497211	C01784	16.618	0.2738
