task_id_list	courier_id	total_score	willingness
T017334,T319484	C00875	27.0948	0.649642
T193009,T525651	C02583	44.9446	0.112545
T184217,T489166	C00153	100.0000	0.575197
T358225,T417998	C00711	27.4799	0.230537
T017328,T417998	C03596	48.6182	0.171013
T142052,T420579	C03151	69.7612	0.000000
T225452	C04128	40.5999	0.891825
T142052,T541314	C00870	43.1692	0.366164
T382817,T476257	C00153	46.5873	0.280398
T193009,T369237	C02078	54.9105	0.396432
T193009,T476257	C03062	89.7688	0.026513
T007646,T065176	C01318	46.0522	0.000000
T142052,T231205	C01082	35.5335	0.083231
T382817,T489166	C00802	31.1168	0.048173
T358225,T507403	C03302	36.9482	0.123550
T260187,T319484	C01791	59.1522	0.080775
T358225,T382817	C00399	43.6590	0.125960
T184217,T523043	C00399	61.1329	0.269815
T151128,T541314	C00875	64.4842	0.026017
T142052,T319484	C02368	78.3563	0.000000
T142052,T476257	C02568	42.0199	0.100034
T132919,T489166	C03302	78.1868	0.517910
T382817,T546474	C01516	51.2994	0.506684
T228349,T280186	C01082	52.7479	0.430290
T017334,T228349	C04320	94.6977	0.044208
T007646,T193009	C03692	100.0000	0.447686
T052624,T280186	C04207	86.5321	0.169738
T102698,T382817	C03169	55.0603	0.170201
T017334,T231205	C01544	49.9966	0.083414
T225452,T523043	C01318	31.6731	0.190110
T065176,T319484	C00711	83.4775	0.017808
T319484,T420579	C00281	43.9931	0.145449
T280186,T382817	C01684	73.1392	0.099937
T382817,T507403	C03290	62.6502	0.780319
T231205,T319484	C04029	38.7271	0.496134
T052624,T525650	C03290	71.4077	0.101106
T476257,T525650	C00399	59.2433	0.071640
T102698,T260187	C01684	51.1793	0.677059
T102698,T228349	C04128	75.0157	0.000000
T132919,T184217	C01734	52.4830	0.190470
T417998,T489166	C02568	41.8926	0.125120
T476257	C00399	15.2739	0.309683
T017334,T142052	C01684	77.3951	0.234977
T017328,T382817	C01352	52.8574	0.565583
T007646,T280186	C03169	50.1379	0.018854
T507403,T523043	C01684	34.3157	0.661827
T132919,T193009	C04207	72.9194	0.173686
T319484,T369237	C00861	100.0000	0.170549
T007646,T476257	C00148	41.6494	0.186885
T102698,T358225	C01544	36.8944	0.454617
T132919,T489166	C04320	75.8075	0.302372
T132919,T184217	C01352	99.2237	0.005948
T280186,T507403	C00944	60.4766	0.401640
T260187,T546474	C02078	48.0703	0.398824
T280186,T358225	C9061	35.4136	0.059348
T231205,T420579	C01877	50.4608	0.036771
T132919,T523043	C01970	29.2648	0.328241
T525650,T546474	C01734	48.7678	0.181901
T142052,T228349	C01970	46.1284	0.574923
T142052,T382817	C01082	52.8077	0.224359
T142052,T489166	C04128	29.4941	0.247398
T358225,T525650	C04709	24.9263	0.421247
T228349,T541314	C02568	64.9669	0.756389
T151128,T193009	C03169	75.9233	0.515247
T476257,T546474	C01544	66.1756	0.191669
T102698,T193009	C04032	64.4834	0.011334
T065176,T546474	C03062	39.1202	0.176724
T319484,T382817	C03273	37.8437	0.252827
T007646,T523043	C02550	90.8710	0.034645
T065176,T319484	C01810	50.6593	0.870200
T007646,T132919	C02368	45.2542	0.291474
T260187,T358225	C02583	86.3525	0.363236
T319484,T507403	C01361	55.2079	0.173803
T017334,T358225	C00463	78.2419	0.719887
T142052,T525651	C03151	47.0912	0.023586
T260187,T476257	C01273	74.1083	0.142922
T052624,T417998	C01273	88.5175	0.000000
T382817,T507403	C01516	36.8534	0.717462
T184217,T546474	C03062	23.8892	0.452212
T102698,T319484	C01361	30.5172	0.207338
T065176,T476257	C02078	56.3692	0.100326
T228349,T417998	C03169	51.3993	0.250626
T382817,T417998	C01318	45.1830	0.184388
T193009,T507403	C03290	43.1511	0.880779
T417998,T489166	C00153	54.0389	0.541921
T231205,T525651	C9060	57.9255	0.419552
T231205,T476257	C01408	49.4604	0.000000
T280186,T525650	C01676	99.3255	0.020147
T065176,T541314	C04207	24.7207	0.075408
T225452,T369237	C00399	95.5036	0.108120
T184217,T507403	C01352	80.1358	0.352807
T132919,T541314	C00875	49.1335	0.005794
T017334,T489166	C01810	44.8048	0.167314
T017328,T319484	C03302	36.6756	0.325499
T319484,T541314	C01544	78.5344	0.002994
T052624,T417998	C04032	74.0111	0.194919
T007646,T228349	C03062	79.9173	0.035737
T052624,T102698	C01361	63.7200	0.101497
T231205,T319484	C04121	50.8887	0.005080
T132919,T420579	C00153	62.3195	0.042016
T184217,T420579	C03169	100.0000	0.396995
T052624,T420579	C00711	71.8709	0.510617
T017334,T319484	C03135	73.7623	0.048477
T142052,T231205	C02078	32.8553	0.732260
T052624,T489166	C01273	43.8955	0.134676
T228349,T369237	C9060	70.8902	0.079872
T260187,T476257	C02583	80.6004	0.060657
T184217,T193009	C00463	85.3701	0.005117
T525651,T541314	C03692	62.5951	0.393760
T184217,T369237	C01408	58.1454	0.268104
T052624,T231205	C03302	19.2538	0.453768
T260187,T382817	C04202	75.4900	0.112342
T151128,T225452	C01676	89.3003	0.228262
T142052,T358225	C04207	26.2575	0.452778
T420579,T546474	C00399	80.5095	0.166969
T132919,T476257	C01877	80.2181	0.495430
T417998,T476257	C01082	42.3427	0.477941
T193009,T369237	C01082	45.2395	0.155134
T280186,T319484	C02032	100.0000	0.228262
T228349,T382817	C04128	61.2154	0.104050
T017328,T525650	C03692	91.2143	0.000000
T489166	C02032	29.5463	0.476105
T369237,T476257	C02568	47.4023	0.075585
T102698,T280186	C02976	28.5671	0.706581
T184217,T225452	C01676	69.4699	0.000637
T369237,T476257	C01082	29.5193	0.175203
T052624,T417998	C03273	81.8282	0.241743
T420579,T476257	C02535	100.0000	0.146220
T420579,T525650	C02078	45.8375	0.552882
T017328,T382817	C03596	62.5807	0.454900
T382817,T525651	C02976	87.7389	0.537329
T225452,T358225	C00399	71.2923	0.000000
T507403,T525650	C01361	29.0618	0.402766
T017334,T525651	C03169	89.3461	0.382808
T052624,T151128	C02368	60.0112	0.079242
T102698,T476257	C00148	100.0000	0.262595
T052624,T358225	C02032	58.1221	0.505279
T184217,T319484	C02276	71.5881	0.000000
T007646,T369237	C02276	78.8359	0.523510
T052624,T507403	C00852	45.9019	0.163298
T184217,T228349	C02276	94.4760	0.071553
T369237,T476257	C01544	39.9519	0.228514
T052624,T260187	C01408	71.2568	0.080052
T151128,T546474	C02032	68.3405	0.418563
T184217,T225452	C04202	43.2857	0.228136
T017334,T358225	C00861	71.4802	0.181665
T260187,T541314	C01544	58.1989	0.001138
T228349,T420579	C01810	19.6885	0.320165
T231205,T319484	C01970	67.6966	0.076116
T280186,T420579	C02368	32.0128	0.410378
T369237,T541314	C00861	52.9373	0.051163
T052624,T417998	C04202	46.6485	0.523230
T319484,T476257	C00852	54.8877	0.204396
T132919,T228349	C01318	31.1140	0.336351
T260187,T369237	C03144	22.9577	0.782196
T052624,T507403	C01877	47.7281	0.028208
T017328,T489166	C01408	65.6201	0.000000
T142052,T231205	C00399	80.8181	0.642322
T102698,T358225	C00281	87.1795	0.284391
T369237	C03302	25.3477	0.560069
T052624,T231205	C04207	52.7851	0.635486
T369237,T417998	C01224	53.2178	0.651595
T193009,T525650	C00281	34.3958	0.215864
T017334,T382817	C03151	40.0730	0.388280
T017334,T417998	C01224	50.8568	0.763484
T184217,T280186	C9060	69.1784	0.197942
T489166,T507403	C02182	99.3213	0.373846
T065176,T417998	C01318	32.6499	0.006457
T228349,T507403	C03062	100.0000	0.598750
T369237,T382817	C03302	34.4944	0.026762
T184217,T193009	C03062	45.6650	0.191669
T007646,T225452	C00281	77.4408	0.530357
T228349,T489166	C02276	64.4743	0.490921
T132919,T319484	C03144	60.9398	0.000000
T193009,T525650	C01684	56.0307	0.201222
T225452,T507403	C00566	78.6430	0.127435
T007646,T319484	C01544	48.5485	0.248430
T142052,T369237	C03596	49.1758	0.045989
T420579,T525651	C04709	48.5700	0.000000
T358225,T369237	C01361	31.6067	0.140845
T052624,T193009	C00711	50.9205	0.266658
T184217,T193009	C04207	48.1932	0.178836
T417998,T420579	C04709	36.1485	0.117645
T489166,T525651	C01970	59.7840	0.737247
T017334,T523043	C04320	80.1381	0.056841
T184217,T523043	C02568	69.2290	0.158859
T017334,T052624	C00944	53.2078	0.344495
T102698,T358225	C02568	62.6406	0.030978
T193009,T280186	C01734	42.4095	0.247269
T260187,T280186	C04709	32.2241	0.285591
T417998,T523043	C01684	36.0063	0.102084
T052624,T358225	C02368	58.2032	0.230031
T525650	C01224	30.4627	0.301157
T260187,T523043	C03273	97.4564	0.638119
T184217,T231205	C02675	45.4491	0.065817
T225452,T260187	C02976	40.6021	0.183558
T052624,T260187	C03302	35.5910	0.239823
T052624	C01791	42.8142	0.415175
T132919,T546474	C02675	82.3504	0.079062
T017328,T228349	C9060	100.0000	0.184625
T052624,T260187	C00399	49.1841	0.000000
T184217,T260187	C00861	76.9379	0.129869
T231205,T489166	C03596	68.1366	0.135106
T052624,T489166	C01544	86.5686	0.007264
T280186,T507403	C02078	44.9908	0.124701
T017334,T369237	C02182	72.3504	0.232690
T225452,T231205	C00875	51.2720	0.000000
T184217,T546474	C00802	52.4558	0.055244
T184217,T369237	C01361	45.2232	0.000000
T065176,T525650	C00875	56.2383	0.099062
T184217,T319484	C00148	73.7744	0.246882
T184217,T525651	C04128	50.8085	0.095304
T132919,T358225	C04320	75.5987	0.200370
T184217,T369237	C9060	47.3713	0.082683
T052624,T280186	C9061	51.2613	0.269946
T476257,T525651	C01361	77.9830	0.608457
T017328,T369237	C03559	51.3933	0.369793
T369237,T420579	C01352	80.6885	0.000088
T489166,T523043	C03596	64.8374	0.306023
T017334,T417998	C03135	89.9377	0.292949
T546474	C02583	40.8488	0.133710
T151128,T231205	C00944	63.7617	0.032030
T102698,T260187	C04207	42.9335	0.147547
T231205	C00434	25.1398	0.145338
T228349,T489166	C03596	65.9495	0.121260
T102698,T523043	C03596	54.2705	0.307107
T142052,T476257	C04121	66.0211	0.060821
T017328,T417998	C00711	50.6747	0.273772
T052624,T523043	C01810	80.8849	0.207215
T007646,T065176	C03302	65.6168	0.487678
T260187,T546474	C02032	51.2319	0.447261
T132919,T546474	C02583	81.0574	0.034577
T017334,T358225	C02182	69.9068	0.525468
T280186,T523043	C03144	96.9018	0.004572
T280186,T319484	C01318	63.6309	0.336765
T052624	C01224	39.9812	0.345463
T507403,T525650	C03273	63.7162	0.251532
T007646,T132919	C01361	30.7338	0.020431
T420579,T546474	C9061	53.2747	0.205253
T225452	C00870	13.0326	0.388280
T507403,T525650	C00434	37.5396	0.071814
T193009,T231205	C01273	92.4277	0.536075
T017334,T319484	C01684	57.2822	0.154909
T151128,T507403	C03273	51.2481	0.713810
T102698,T546474	C00399	62.9791	0.087938
T280186,T319484	C9060	74.8962	0.643894
T151128,T193009	C03062	79.9042	0.291340
T417998,T476257	C01791	31.1717	0.432977
T017334,T102698	C00802	66.6696	0.270342
T184217,T319484	C00852	84.0074	0.123341
T151128,T420579	C00566	71.8745	0.035121
T225452,T476257	C01273	99.9407	0.106029
T260187,T525651	C02550	66.4684	0.147547
T525650	C00463	24.6464	0.923618
T184217,T489166	C02276	47.0951	0.015565
T017328,T142052	C03062	56.6244	0.369095
T507403,T523043	C02535	51.6549	0.350587
T017334,T225452	C03144	45.7822	0.232310
T151128,T260187	C01544	100.0000	0.231549
T017334,T231205	C00434	53.0478	0.052017
T102698,T319484	C01544	45.9375	0.381126
T228349,T420579	C01544	71.7114	0.165360
T017328,T280186	C02550	47.9127	0.076827
T382817,T523043	C03273	40.5601	0.677694
T132919,T382817	C00434	36.3274	0.359755
T507403,T523043	C02032	64.9606	0.391230
T382817,T525651	C03144	52.6548	0.443018
T193009,T523043	C9061	46.0988	0.707933
T369237,T525651	C01810	63.6429	0.122299
T319484,T420579	C03062	48.3976	0.017373
T065176,T546474	C00399	50.7475	0.225365
T017328,T358225	C01318	39.3780	0.254124
T065176,T417998	C00852	100.0000	0.337040
T417998,T546474	C03135	37.7885	0.629407
T132919,T525650	C00870	34.1653	0.093682
T184217,T546474	C02182	58.6815	0.571219
T369237,T525651	C00875	97.8782	0.000000
T228349,T420579	C04121	67.1295	0.647816
T102698,T184217	C01352	58.8357	0.386315
T052624,T319484	C01224	46.1984	0.010402
T523043,T525650	C00852	57.2285	0.419411
T280186,T525650	C00566	66.9947	0.000000
T382817,T420579	C00148	74.6677	0.000000
T184217,T420579	C03273	43.6181	0.023110
T151128,T231205	C04207	56.2374	0.509353
T007646,T052624	C03302	77.5645	0.571906
T065176,T489166	C01684	99.4187	0.033162
T260187,T382817	C04029	75.4587	0.003542
T193009,T280186	C01544	90.7655	0.211774
T231205,T369237	C02583	54.5177	0.164901
T507403,T525651	C02535	46.2352	0.368397
T132919,T151128	C01544	62.6034	0.635354
T142052,T151128	C01970	63.4984	0.565996
T228349,T231205	C03135	40.1848	0.679597
T193009,T541314	C04207	32.7118	0.106525
T102698,T507403	C01361	40.0956	0.000000
T228349,T369237	C04128	36.3134	0.014942
T052624,T489166	C00148	54.4558	0.112545
T017328,T369237	C00463	49.5023	0.604420
T184217,T260187	C02032	64.8781	0.639566
T476257,T523043	C00875	50.8359	0.019133
T507403,T525650	C9061	84.2152	0.013922
T065176,T260187	C02276	63.9944	0.695932
T231205,T420579	C04128	48.4138	0.771062
T476257,T489166	C03596	84.2619	0.061727
T476257,T541314	C00463	36.2091	0.114678
T142052,T523043	C03273	45.4225	0.529241
T228349,T525650	C00434	40.5426	0.760975
T007646,T017328	C00875	66.9678	0.421247
T007646,T369237	C02583	31.3899	0.052017
T132919,T523043	C01810	70.0140	0.647294
T052624,T369237	C02032	47.9516	0.755122
T065176,T476257	C02276	71.6458	0.226623
T369237,T476257	C01361	64.0020	0.000000
T184217,T231205	C01734	34.4480	0.311720
T228349,T260187	C02368	85.1524	0.006299
T260187,T369237	C01408	100.0000	0.372308
T017334,T541314	C01734	45.6732	0.421388
T319484,T541314	C03273	63.4974	0.000000
T132919,T525650	C04202	42.5300	0.422659
T417998,T541314	C03692	58.5847	0.239567
T017328,T525650	C00875	78.4026	0.200735
T052624,T382817	C03692	38.4251	0.473986
T017334,T260187	C02368	73.5658	0.013771
T017334,T358225	C04202	68.8819	0.005986
T102698,T358225	C02032	50.6278	0.391511
T184217,T260187	C00944	44.1183	0.681496
T052624	C01516	18.6714	0.969622
T007646,T369237	C03144	44.6715	0.754429
T231205,T476257	C01684	90.9257	0.396854
T184217,T193009	C01352	100.0000	0.299674
T280186,T546474	C01082	61.8912	0.001662
T007646,T132919	C01352	81.4285	0.045096
T132919,T151128	C02550	67.3911	0.130613
T007646,T231205	C01877	36.9358	0.434673
T369237,T420579	C00399	64.4743	0.546783
T369237,T523043	C03692	45.3977	0.030067
T231205,T507403	C00399	72.7918	0.471584
T017328,T369237	C01224	69.3839	0.192630
T007646,T065176	C04207	90.7272	0.000000
T358225	C04032	28.9306	0.568747
T193009,T358225	C02182	45.7779	0.527425
T525650,T525651	C03559	55.1493	0.277346
