task_id_list	courier_id	total_score	willingness
T069033,T547090	C01582	74.2638	0.605676
T461067,T562567	C00633	43.4846	0.753887
T005187,T011710	C01653	65.2623	0.596514
T011710	C01101	37.8933	0.551141
T084748,T388997	C00594	56.0036	0.273696
T214515,T314673	C02249	48.7400	0.204744
T339451,T549665	C00576	29.7939	0.157549
T388997,T461067	C01572	78.7824	0.453060
T266563,T405236	C01937	67.2087	0.580755
T266563,T339449	C01582	52.4596	0.239323
T283759,T461067	C00194	98.8013	0.100055
T136710,T234904	C01704	88.9864	0.214982
T388997,T461065	C03280	34.4351	0.140247
T097142	C01527	47.8355	0.818876
T084748,T455830	C01688	54.7632	0.267932
T005187,T455830	C01103	66.3623	0.496579
T087908	C03504	23.1095	0.814703
T455830	C01360	19.3916	0.087476
T266563,T562567	C01360	54.1048	0.786466
T053417,T097142	C01747	64.9460	0.088780
T053417,T405236	C00576	35.3559	0.772399
T069033,T314670	C00576	31.6796	0.711342
T214515,T339449	C00800	42.2504	0.111361
T214515,T405236	C03373	43.0311	0.213698
T347760,T429180	C00920	92.0513	0.376601
T314670,T549665	C01458	63.5656	0.321783
T289353,T410640	C00029	54.8913	0.009961
T314670,T547090	C02461	54.1869	0.000000
T266563	C00183	46.4672	0.961129
T097235,T388997	C01309	61.1373	0.108436
T314673,T347760	C03117	62.2784	0.000000
T214546,T283759	C01896	57.9932	0.266853
T062775,T289353	C01141	76.5133	0.530994
T005187,T087908	C00983	68.8428	0.264456
T011710,T350507	C00337	50.9382	0.187924
T024617,T461065	C03079	76.2959	0.000000
T283759,T314670	C03563	70.2571	0.235065
T320217,T562567	C01017	79.8993	0.392551
T024617,T214546	C00082	49.4650	0.346455
T429180,T461065	C01101	57.4883	0.603709
T005187,T429180	C01926	45.8709	0.422967
T289353	C01467	41.8105	0.733312
T339451	C03546	21.0049	0.672198
T097142,T353357	C03563	87.7767	0.000000
T053417,T461067	C02188	47.5035	0.501172
T388997,T461065	C00872	23.2143	0.345232
T011701,T562574	C00576	76.7435	0.126192
T097142,T320217	C03280	69.9124	0.000000
T087908,T320217	C01145	73.3356	0.094640
T097235,T547090	C03998	94.1154	0.722968
T062775,T097235	C01572	66.0847	0.524645
T234904,T461067	C02067	44.5985	0.498756
T087908,T097142	C03074	58.6681	0.134052
T320217,T405236	C00957	65.0196	0.002806
T136710,T266563	C01926	90.8670	0.056347
T011710,T410640	C00594	73.6089	0.101701
T283759	C01467	37.8714	0.863526
T353357,T461067	C03504	77.3328	0.340951
T097142,T214546	C02609	50.3159	0.696120
T011710,T429180	C02389	36.6732	0.417451
T429180,T453213	C00194	57.2598	0.339850
T069033,T339451	C03103	65.6611	0.100878
T084748,T547090	C03358	39.5073	0.073379
T084748,T410640	C02361	61.6950	0.216033
T339451,T429180	C02989	67.3544	0.451717
T289353,T320217	C01582	63.2998	0.498635
T314670,T320217	C01254	79.5524	0.322636
T136710,T461065	C01467	79.5893	0.138068
T005187,T353357	C00337	42.8360	0.064379
T314670,T339451	C02361	48.6832	0.345109
T084748,T314673	C02188	50.0159	0.439862
T275149,T314670	C01926	75.0389	0.325075
T314673,T562574	C03079	72.9017	0.000000
T011710,T562574	C04635	75.3964	0.663529
T062775,T266563	C01394	42.3769	0.647270
T388997,T461067	C00983	39.3527	0.009230
T214515,T339451	C02361	36.3960	0.218605
T350507,T410640	C02361	77.2757	0.382244
T275149,T547090	C03998	94.8921	0.464281
T214515,T266563	C04725	62.4202	0.254177
T289353,T314673	C03546	29.7832	0.410585
T087908,T136710	C01103	77.8865	0.332519
T234904,T339451	C01136	31.1423	0.088278
