task_id_list	courier_id	total_score	willingness
T254779,T297389	C01718	79.1215	0.049902
T246159,T450357	C01348	35.1740	0.082319
T246159,T559682	C03850	44.9444	0.065953
T024206,T040096	C01457	86.0179	0.098707
T181666,T494659	C00306	74.9990	0.059812
T030475,T178613	C02311	54.5339	0.090347
T024206,T178613	C02221	72.9632	0.000000
T030468,T450357	C02257	45.0400	0.072546
T254779,T297384	C01377	100.0000	0.009761
T297384,T380452	C01389	67.7885	0.000000
T024206,T494659	C02898	81.9554	0.000000
T178613,T494659	C00736	76.8533	0.071890
T254779,T297393	C00306	55.5704	0.016702
T096817,T407632	C02898	52.0030	0.004276
T407632,T564759	C03596	63.7367	0.055931
T030475,T297390	C02898	56.6755	0.000000
T030467,T096817	C02192	41.2368	0.134607
T139376,T450357	C01715	48.7326	0.000000
T040096,T246159	C01686	90.9509	0.051334
T181666,T559682	C02143	55.4424	0.000000
T011239,T078127	C02556	37.0687	0.033400
T322580,T352956	C01552	44.2891	0.000000
T246159,T322580	C02635	57.7662	0.000000
T096817,T181666	C00421	75.5981	0.053018
T254779,T450357	C01715	46.3003	0.055472
T030468,T040096	C01389	87.7798	0.043345
T352956,T559682	C02597	45.4623	0.039721
T011239,T151501	C02659	58.6993	0.071950
T030475,T254779	C01718	57.4250	0.093158
T024206,T178613	C00411	54.2925	0.060386
T030468,T559682	C01410	31.5890	0.096433
T096817,T246159	C00492	85.7608	0.036111
T181666,T297393	C04495	47.4166	0.060830
T008038,T011239	C02311	57.0115	0.068702
T322580,T442247	C00813	67.1854	0.086783
T181666,T442247	C01389	38.4750	0.083966
T078127,T297384	C01377	51.0129	0.057949
T024206,T494659	C01164	66.4433	0.000000
T178613,T297384	C01410	36.0018	0.000000
T260550,T297393	C02700	68.4493	0.090292
T322580,T339087	C02484	65.6279	0.008621
T030468,T139376	C00168	58.9096	0.076143
T078127,T181666	C00198	40.4561	0.032585
T011239,T339087	C01686	68.3338	0.000000
T030467,T246159	C02659	77.1381	0.005935
T407632	C02484	27.1012	0.140656
T011239,T450357	C02192	31.6804	0.000000
T297389,T442247	C01044	41.0031	0.068217
T297389,T380452	C01718	66.8432	0.000000
T030475,T339087	C02597	48.4774	0.110248
T407632,T564759	C01552	39.7677	0.000000
T030467,T040096	C01264	39.5377	0.047198
T151501,T352956	C02484	60.8688	0.084136
T011239,T297390	C02119	30.0792	0.075440
T178613,T260550	C00492	74.5409	0.098167
T040096,T181666	C01377	51.9320	0.000000
T030467,T297393	C01377	63.2847	0.064345
T024206,T078127	C00856	69.1846	0.050381
T024206,T030475	C00776	69.4160	0.099516
T030468,T040096	C04495	52.1746	0.042249
T040096,T254779	C02022	69.9295	0.080029
T181666,T339087	C03385	90.6902	0.057171
T030467,T442247	C00813	77.7527	0.026515
T040096,T407632	C01623	64.3127	0.134304
T297390,T450357	C02597	77.2733	0.043852
T339087,T380452	C00391	44.2711	0.037201
T297393,T380452	C00538	31.7310	0.028107
T181666,T442247	C01044	70.4792	0.072308
T181666,T297384	C00168	78.5621	0.000000
T139376,T297393	C02484	52.2237	0.068824
T024206,T339087	C00407	48.8039	0.081520
T297384,T380452	C00198	60.0091	0.072902
T246159,T339087	C00538	80.1924	0.102305
T024206,T339087	C01410	85.2937	0.041586
T254779	C02898	10.0000	0.171046
T322580	C01164	20.3963	0.167513
T030467,T178613	C00538	79.0515	0.112604
T322580,T380452	C00776	53.1651	0.000000
T254779,T494659	C00391	45.3726	0.038889
T030475,T322580	C02119	65.4159	0.098707
T254779,T407632	C01348	40.3454	0.000000
T151501,T442247	C01410	100.0000	0.070993
T030468,T297393	C01686	61.2904	0.117594
T008038,T494659	C01389	51.3844	0.051807
T011239,T078127	C01857	45.7363	0.058078
T246159,T260550	C00988	56.7112	0.046282
T040096,T260550	C03437	70.0305	0.000000
T178613,T494659	C01715	88.7056	0.000000
T008038,T178613	C02659	70.3577	0.000000
T297384,T564759	C00538	61.3049	0.000000
T008038,T297390	C01164	71.9574	0.000000
T297389,T450357	C02022	57.0925	0.060894
