task_id_list	courier_id	total_score	willingness
T023392,T171917	C04530	62.4130	0.000000
T242552,T491461	C01895	60.5388	0.518391
T105285,T242552	C04333	76.7741	0.007469
T171917,T401551	C04034	86.3731	0.041347
T036117,T316388	C02037	51.7949	0.007882
T016928,T186751	C00884	81.1464	0.491125
T023392,T282699	C03994	36.1141	0.071339
T061610,T156741	C01078	48.7372	0.349968
T156741,T236782	C02344	72.0909	0.263702
T023382,T409628	C9060	59.6008	0.517552
T156741,T401551	C03004	96.2021	0.174642
T316388,T561651	C02037	79.5490	0.035297
T023382,T468079	C03960	75.0955	0.360240
T023392,T186751	C01895	46.1724	0.292860
T135587,T460113	C00612	48.6425	0.000000
T016928,T460113	C04137	21.0500	0.077702
T016928,T242552	C03872	52.1791	0.212986
T156741,T468079	C02684	72.2660	0.226540
T061610,T089871	C00612	59.6052	0.243301
T288297	C00884	33.5893	0.808085
T305150,T401551	C02684	63.1673	0.219801
T305150,T316388	C03437	64.6398	0.831534
T023392,T186751	C03724	57.7356	0.194192
T473313,T561651	C01739	42.0369	0.201231
T036117,T460113	C04530	79.7031	0.062535
T156741,T468079	C03437	20.1504	0.015152
T186751,T242552	C04135	63.1840	0.592265
T020169,T089871	C02037	65.7769	0.483179
T242552,T473313	C00584	71.0018	0.107880
T156741,T242552	C03830	30.5312	0.167464
T409628,T561651	C00227	41.5065	0.696621
T023382,T561651	C02344	60.3361	0.287252
T016928,T236782	C00612	46.6680	0.109056
T045887,T236782	C02344	70.0204	0.336987
T204453,T409628	C00060	72.3664	0.000000
T282699,T460113	C03004	26.5280	0.440845
T064777,T288297	C02468	55.3438	0.477637
T020169,T473313	C03010	61.6597	0.009632
T171917,T561651	C02201	53.5909	0.356296
T023382,T401551	C00498	47.0753	0.209092
T089871,T282699	C03796	44.3520	0.087256
T186751,T282699	C02201	45.6256	0.128921
T135587,T409628	C03960	64.8726	0.136574
T561651	C00219	42.2144	0.364548
T020169,T236782	C04034	67.2366	0.186871
T089871,T282699	C00906	72.3889	0.321097
T064777,T156741	C04135	38.8740	0.203219
T316388,T525335	C03863	79.5689	0.013436
T321915,T561651	C01368	100.0000	0.189924
T186751	C02128	20.2523	0.370776
T045887,T491461	C00524	62.4292	0.029747
T204453,T242552	C02344	73.8493	0.104853
T023382,T491461	C00752	53.9247	0.508315
T023392,T236782	C01968	70.4195	0.077244
T023392,T409628	C00584	24.0216	0.412016
T525335,T561651	C02373	75.2634	0.116962
T036117,T064777	C00060	46.1675	0.460997
T016928,T105285	C00612	65.5739	0.109350
T061610,T242552	C00037	83.5277	0.647278
T305150,T401551	C00752	21.2743	0.128718
T204453,T468079	C02344	65.9000	0.583090
T242552,T468079	C00954	58.0177	0.350922
T401551,T460113	C01368	61.3501	0.004327
T089871,T171917	C01009	39.1458	0.200680
T045887,T491461	C00884	45.1096	0.583090
T023382,T135587	C03724	67.0273	0.327016
T045887,T242552	C02862	60.8748	0.382534
T316388,T491461	C04135	55.5944	0.472815
T242552,T288297	C02740	30.6224	0.254273
T460113,T468079	C00498	37.9757	0.475708
T023392,T468079	C02468	35.1707	0.392750
T020169,T061610	C01368	52.6015	0.209536
T135587,T561651	C01955	28.4145	0.082776
T036117,T525335	C00709	66.9679	0.343293
T105285,T288297	C04564	73.7205	0.244327
T288297,T401551	C02684	84.9493	0.154859
T171917,T409628	C00219	66.3335	0.484383
T105285	C02423	43.4622	0.865434
T105285,T204453	C02423	75.9259	0.729565
T321915,T409628	C9061	51.5057	0.215104
T016928,T282699	C02344	52.8772	0.449414
T064777,T186751	C00884	82.9512	0.630596
T036117,T105285	C00762	89.6834	0.536098
T204453,T321915	C00584	61.9567	0.676252
T020169,T491461	C00906	45.1339	0.176256
T089871,T525335	C03724	54.8954	0.837615
T045887,T316388	C02976	31.1893	0.013371
T016928,T282699	C01739	75.7226	0.011696
T186751,T473313	C00227	74.5960	0.022507
T016928,T156741	C01587	73.8550	0.337462
T204453,T321915	C04333	63.9996	0.621334
T036117,T468079	C03010	63.5055	0.452189
T023392,T288297	C01587	19.7032	0.242049
T171917,T204453	C03724	43.9619	0.128414
T242552,T305150	C00524	74.6191	0.719660
T023392,T061610	C02037	23.5973	0.471489
T105285,T305150	C00238	56.5247	0.115769
T036117,T473313	C00238	57.7805	0.199027
T473313,T491461	C02423	47.2994	0.579082
T105285,T316388	C9061	58.6034	0.471369
T282699,T401551	C9061	84.6618	0.605266
T020169,T089871	C03004	44.5270	0.264971
T016928,T061610	C03863	66.1486	0.041832
T061610,T288297	C04333	77.5599	0.303999
T023382,T473313	C00906	75.2297	0.000000
T156741,T321915	C02976	56.2271	0.295201
T401551,T468079	C04530	17.2111	0.233085
T491461,T561651	C02201	75.2008	0.335561
T089871,T316388	C01955	69.4422	0.201452
T236782,T282699	C04530	70.3999	0.064471
T105285,T242552	C01368	69.7679	0.723152
T064777,T171917	C01078	66.1526	0.544926
T135587,T561651	C02348	43.2681	0.191892
T089871,T468079	C01368	28.6844	0.148471
T135587,T321915	C00227	82.0497	0.497621
T023382,T525335	C03651	57.6648	0.114579
T282699	C04530	35.0706	0.213320
T036117,T409628	C00524	51.5999	0.508795
T468079,T491461	C00498	20.0419	0.263818
T020169,T089871	C01587	94.4844	0.073871
T156741,T401551	C03796	41.3901	0.211093
T064777,T186751	C01739	70.7362	0.171314
T204453,T409628	C00762	48.5979	0.210314
T045887,T061610	C00036	91.5954	0.281775
