task_id_list	courier_id	total_score	willingness
T196667,T252279	C9018	79.8617	0.171842
T322942,T90036	C9020	55.5600	0.181990
T345037,T90033	C00658	33.4340	0.242412
T266567,T90032	C02299	34.9666	0.201751
T109410,T275158	C01925	43.5561	0.317887
T350516,T90039	C02804	87.9948	0.335989
T121484,T283761	C9020	45.8226	0.289572
T014832,T437247	C9019	66.1250	0.077373
T240758,T90033	C01679	71.0393	0.260976
T484682	C04035	25.8889	0.016014
T176009,T487241	C01899	79.4964	0.400289
T145843,T487241	C02804	57.7127	0.162369
T062740	C00093	37.2011	0.960027
T014832,T90031	C00093	33.6485	0.030737
T145843,T484682	C00658	54.0207	0.290837
T133632,T303373	C04128	59.2806	0.295564
T252279,T90033	C04128	81.2823	0.030847
T124477,T145843	C00093	71.1059	0.409609
T240758,T536881	C00658	37.5850	0.347446
T091025,T484682	C02127	56.1096	0.114994
T109410,T345037	C00658	33.1640	0.155970
T109408,T90031	C04128	77.4753	0.343212
T133632,T350516	C02804	79.5255	0.076931
T437247,T90031	C9020	63.1793	0.647265
T240758,T90031	C03057	64.4724	0.193744
T448025,T90038	C02804	47.5014	0.261087
T240758,T322939	C00656	76.9767	0.628292
T90037,T90039	C00656	84.7284	0.097625
T145843,T90036	C02299	31.0385	0.349264
T133632,T322939	C02804	60.7358	0.081688
T091025,T176009	C02299	93.9664	0.036700
T266567,T90038	C00250	51.1954	0.066508
T345040,T90033	C04035	60.2159	0.133395
T322939,T90033	C04035	51.9059	0.353031
T062740,T90030	C01925	45.7102	0.015420
T121484,T303373	C00141	64.4009	0.483706
T062767,T322942	C9020	43.5637	0.549805
T448025,T90037	C04128	70.7589	0.481103
T275158,T90030	C04128	84.4001	0.347325
T062740,T90035	C02299	80.8136	0.057657
T322939,T322942	C01899	65.4859	0.116428
T240758,T487241	C00093	98.5601	0.483836
T252279,T345040	C9018	21.8323	0.499888
T109408,T90036	C9019	59.4478	0.565757
T121484,T90031	C00250	41.8014	0.319424
T091025,T322939	C03731	55.4791	0.094299
T160949,T90035	C01679	33.4633	0.224409
T90037,T90038	C03731	50.8319	0.135705
T014832,T133632	C01925	86.6736	0.621863
T109408,T345037	C04128	27.2599	0.370422
T133632	C00658	31.4261	0.641517
T252279,T266567	C9018	40.6717	0.623963
T109408,T266567	C01899	52.2357	0.066929
T275158,T90033	C01899	76.8407	0.350964
T091025,T303373	C01679	64.3676	0.441173
T322939,T487241	C9021	71.3402	0.470581
T109408,T448025	C04128	66.2379	0.566021
T252279,T90035	C02299	95.0865	0.155596
T133632,T484682	C02127	73.5370	0.021977
T283761,T90032	C00093	71.7865	0.419737
T062740,T121484	C9020	16.9390	0.092729
T124477,T160949	C01899	65.4393	0.180809
T133632,T90034	C02804	45.1369	0.056788
T124477,T90038	C00135	51.5192	0.096433
T283761,T437247	C02804	54.6476	0.244041
T109408,T437247	C03095	82.1756	0.000000
T124477,T90034	C04128	36.2282	0.265657
T142796,T240758	C9019	52.3380	0.097784
T121484,T90038	C9019	24.7213	0.138745
T283761,T90032	C02299	39.2638	0.522302
T062740,T90034	C01679	63.4601	0.235070
T014832,T109408	C00135	77.3972	0.431704
T160949,T90036	C9021	49.0197	0.124467
T90030,T90037	C00135	62.5033	0.172519
T062740,T90030	C04035	51.2552	0.326187
T062767,T322939	C9018	84.7028	0.331795
T062740,T90035	C9018	47.9421	0.280088
T322939,T487241	C01679	38.4779	0.000000
T121484,T90039	C00656	71.4233	0.119741
T266567,T90033	C9018	46.8393	0.583033
T283761,T437247	C00618	80.7537	0.204411
T448025,T90031	C00658	37.7254	0.432343
T266567,T448025	C02299	53.1036	0.182385
T345037,T350516	C00618	53.8856	0.005377
T536881,T90039	C00658	47.4850	0.339355
T160949,T484682	C02804	58.5132	0.466564
T275158,T90030	C00250	53.0775	0.198494
T133632,T90038	C00141	61.7077	0.222402
T062740,T303373	C00141	35.6633	0.314584
T091025,T536881	C03095	27.8964	0.136864
T487241,T90034	C00656	71.6721	0.550596
T091025,T133632	C03095	39.6681	0.275213
T091025,T448025	C00141	94.8289	0.435922
T109410,T90037	C04035	83.7931	0.336349
T121484,T133632	C02299	64.1718	0.403055
T062740,T275158	C02127	38.5647	0.042545
T014832,T90035	C00656	60.9339	0.335269
T145843,T322942	C9019	53.7407	0.000000
T091025,T90033	C00618	71.8007	0.717347
T133632,T145843	C00250	50.3906	0.242195
T145843,T90037	C9019	40.7634	0.060358
T142796,T345037	C00135	61.2873	0.434899
T176009,T90031	C9020	50.4350	0.094693
T303373,T536881	C01679	67.7226	0.394271
T124477,T90034	C01925	56.1468	0.088611
T176009,T90035	C00250	56.9178	0.000000
T142796,T90030	C00093	65.0933	0.263982
T062740,T109410	C01679	61.3300	0.258867
T90030,T90032	C01899	37.6714	0.147729
T345037,T90039	C00250	62.4559	0.151599
T283761,T345040	C04035	80.9014	0.042423
T322942,T90033	C9021	45.2711	0.212148
T124477,T283761	C03731	65.9639	0.278384
T196667,T350516	C00656	45.8806	0.762394
T322942	C00093	28.7812	0.999669
T014832	C01899	19.0628	0.085926
T145843,T160949	C01679	60.8285	0.036642
T142796,T283761	C03095	48.2545	0.159912
T176009,T484682	C01925	28.2402	0.221138
T124477,T350516	C00135	64.8225	0.031569
T091025,T90039	C00250	36.0789	0.316470
T014832,T160949	C03095	60.4694	0.155970
T90030,T90031	C9020	88.7471	0.287278
T266567,T90034	C00093	85.3026	0.375236
T142796,T90038	C00618	57.9672	0.465269
T091025,T121484	C00250	35.4036	0.277024
T90036,T90037	C01925	61.0462	0.682309
T109410,T266567	C03095	84.4919	0.358518
T90031,T90033	C02299	68.2615	0.457255
T266567,T90039	C01679	32.7568	0.606088
T014832,T90035	C00093	68.0482	0.125506
T160949,T322942	C9021	36.1968	0.217883
T252279,T345037	C9021	88.5986	0.046188
T252279,T303373	C00618	90.0290	0.014564
T283761,T90030	C01925	69.6930	0.474863
T142796,T90037	C04035	69.1418	0.627243
T240758,T437247	C9018	72.8707	0.654697
T121484,T90036	C9018	67.1552	0.023496
T109410,T90036	C03095	70.7502	0.208628
T266567	C04128	30.6373	0.926672
T240758,T350516	C00135	49.6269	0.124467
T322939,T345037	C00141	52.5352	0.552046
T350516,T90033	C9019	53.3547	0.270141
T240758,T322939	C03095	51.6227	0.297415
T062767,T145843	C02127	59.8848	0.046250
T121484,T145843	C01925	57.4269	0.068482
T345037,T90035	C03095	32.3473	0.279293
T283761,T448025	C9019	38.8908	0.343816
T240758,T90032	C03095	77.5493	0.427623
T322939,T90030	C9020	91.5659	0.047696
T240758,T536881	C00141	54.4498	0.408599
T266567,T487241	C01925	47.9054	0.309532
T014832,T90039	C00658	92.4873	0.209041
T014832,T448025	C04035	56.7696	0.539267
T275158,T90032	C02804	45.1673	0.500018
T484682,T90030	C04128	73.6815	0.378207
T014832,T90030	C03095	58.3019	0.103578
T124477,T484682	C9021	74.3611	0.342006
T062767,T90039	C03095	73.5098	0.660423
T303373,T350516	C03731	59.2417	0.356443
T062740,T90032	C00093	72.2933	0.584746
T160949,T252279	C01925	47.9530	0.244585
T133632,T345040	C00135	54.8657	0.356077
T283761,T90037	C04128	65.5612	0.472527
T062767,T124477	C04035	38.9662	0.301825
T303373,T484682	C01679	66.0874	0.271266
T133632,T345037	C9018	50.5994	0.355467
T145843,T90039	C02804	60.5376	0.300431
T322939,T90033	C04128	98.8665	0.081913
T322939,T322942	C03057	67.8936	0.683985
T240758,T303373	C00656	49.0514	0.422277
T109408,T160949	C00093	33.6416	0.000000
T240758,T90031	C9021	55.6243	0.161044
T283761,T90036	C9020	51.1929	0.128467
T062767,T322942	C04128	57.8503	0.185649
T196667	C03731	21.1884	0.905980
T322942,T90032	C04035	57.5315	0.050692
T133632,T536881	C9019	91.8996	0.216000
T303373,T487241	C03095	49.0815	0.223246
T345037,T484682	C03057	61.5864	0.366975
T109408,T252279	C02299	43.8720	0.238084
T062767,T322942	C02804	35.5691	0.314584
T196667,T90038	C00093	47.8924	0.320370
T133632,T176009	C03057	46.8817	0.228653
T90033,T90037	C04035	51.9108	0.361332
T109410,T350516	C01925	59.5193	0.034907
T275158,T350516	C02804	76.9274	0.355833
T196667,T448025	C03095	87.5095	0.111144
T448025,T90039	C02299	67.4823	0.063997
T303373,T90035	C01899	48.2277	0.639294
T124477,T345037	C9021	79.8076	0.246984
T176009,T350516	C03731	41.8092	0.458029
T266567,T536881	C00093	80.5186	0.276231
T350516,T448025	C02299	73.3443	0.199409
T109408,T536881	C03731	70.2200	0.328570
T109410,T484682	C00658	48.6559	0.030295
T062740,T266567	C03057	37.5165	0.527953
T109410,T275158	C00135	45.8354	0.353153
T266567,T283761	C01925	91.3785	0.303688
T345040,T90033	C02804	44.6389	0.133927
T448025,T90039	C9018	57.5325	0.027687
T091025,T252279	C02299	74.3962	0.189731
T322942,T90036	C04128	79.1482	0.445665
T109408,T448025	C00658	46.7329	0.555077
T275158,T283761	C00135	55.4019	0.266328
T350516,T487241	C00618	88.1499	0.000000
T350516,T90038	C01679	63.9114	0.018642
T145843,T90031	C04035	61.8722	0.453644
T322942,T90034	C04035	45.3286	0.187139
T091025,T536881	C04035	65.2516	0.319779
T303373,T487241	C01925	42.9519	0.525981
T303373,T90035	C00656	55.4932	0.550464
T345040,T90035	C9021	73.0857	0.108409
T091025,T345037	C00656	62.0124	0.287966
T240758,T90034	C00093	85.2300	0.247639
T109410,T275158	C00658	37.6512	0.086691
T091025,T133632	C02299	73.4080	0.444509
T176009,T240758	C00141	55.6103	0.204001
T252279,T283761	C00656	47.2388	0.309884
T487241,T90035	C01679	45.3034	0.094457
T124477,T322942	C03095	68.6866	0.271266
T283761,T484682	C01899	63.2606	0.014564
T437247,T90036	C00658	56.0413	0.096195
T142796,T145843	C00135	37.8765	0.497273
T252279,T322942	C02127	50.6769	0.209248
T448025,T90033	C02127	28.6879	0.209765
T350516,T90038	C04128	49.7359	0.152711
T062740,T145843	C9020	34.0794	0.195356
T196667,T90035	C02299	70.7715	0.000000
T283761,T90030	C01899	38.6755	0.284304
T062740,T062767	C00618	50.0537	0.186443
T091025,T322939	C9018	47.0457	0.161612
T437247,T90038	C04035	98.6172	0.055459
T109410,T275158	C02299	68.6377	0.030626
T062740,T90039	C01899	54.5781	0.358885
T133632,T437247	C9021	54.6551	0.090391
T145843,T90030	C00658	47.9849	0.353518
T176009,T448025	C03731	34.2259	0.114237
T176009,T350516	C03095	56.1586	0.186642
T062740,T90038	C02299	89.9233	0.276345
T145843,T484682	C02299	63.8975	0.411504
T240758,T90032	C00093	83.7391	0.366730
T448025	C02299	42.9128	0.615163
T345040,T90037	C00618	30.5505	0.081913
T90036,T90039	C9021	32.7826	0.124380
T252279,T90037	C00093	43.3664	0.361087
T448025,T536881	C00658	54.0428	0.562065
T109410,T322939	C00250	91.8416	0.238731
T266567,T90037	C01679	35.0692	0.507086
T266567,T487241	C01679	43.2983	0.123862
T160949,T283761	C9020	47.5902	0.411630
T345037,T90036	C03057	100.0000	0.310236
T345040,T350516	C9018	32.1359	0.401295
T062740,T240758	C01679	29.6623	0.385409
T283761,T90039	C00658	99.7899	0.179925
