task_id_list	courier_id	total_score	willingness
T000828,T010538	C01376	33.8601	0.030414
T000828,T010538	C00274	49.0507	0.513419
T007265,T486326	C03235	45.4634	0.341989
T010538,T486326	C01508	40.2546	0.332277
T058504,T548769	C01801	66.8015	0.126484
T357877,T486326	C03137	64.6674	0.000000
T029725,T486326	C03137	63.1608	0.075852
T096128,T486326	C01891	45.8029	0.102764
T029725,T096128	C00689	42.0808	0.305750
T029725	C01728	20.6120	0.882672
T168867,T486326	C01552	28.4184	0.289530
T000828	C00589	24.8581	0.961430
T099155,T548769	C01508	33.2025	0.221987
T029725,T512345	C02861	50.8374	0.315286
T096128,T168867	C00402	58.4336	0.203657
T000828,T548769	C02829	42.4840	0.692859
T132569,T486326	C01728	39.7963	0.208376
T010538,T486326	C02321	38.1437	0.117520
T000828	C01186	19.3961	0.700556
T168867,T548769	C01376	33.2014	0.105601
T099155	C01801	33.3150	0.739587
T010538,T486326	C01552	43.9859	0.487680
T010538,T029725	C01552	64.3438	0.497800
T029725	C03235	19.8151	0.852107
T000828,T512345	C02541	61.8534	0.077219
T486326,T548769	C00689	25.3633	0.396093
T486326,T548769	C02829	35.1882	0.418835
T010538,T168867	C01626	59.7142	0.497360
T029725,T058504	C01748	23.6856	0.437138
T029725,T132569	C01361	56.3447	0.257361
T096128,T357877	C02793	36.2817	0.173398
T099155,T357877	C01186	36.9540	0.199869
T007265,T058504	C02861	65.4885	0.387038
T007265,T168867	C01376	36.5343	0.248229
T168867,T486326	C02541	43.0748	0.143068
T096128,T512345	C03198	19.2678	0.199767
T132569,T512345	C02829	51.3370	0.132017
T000828,T096128	C02620	34.8915	0.413581
T010538,T029725	C01186	51.1388	0.252004
T010538,T548769	C03137	54.8065	0.565824
T029725,T099155	C02321	55.1720	0.119922
T010538,T132569	C03137	79.0791	0.042298
T029725,T096128	C01908	62.4742	0.467118
T007265,T132569	C01361	68.0941	0.123294
T357877,T548769	C01894	41.9543	0.343934
T086766,T099155	C01361	49.6328	0.429681
T099155	C01891	24.7543	0.806153
T201532,T357877	C02620	62.8420	0.075124
T132569,T486326	C01891	36.1718	0.186122
T058504,T486326	C01891	48.2901	0.117328
T168867,T512345	C01626	76.6874	0.497360
T096128,T512345	C02829	45.4374	0.283788
T029725,T168867	C02616	58.7643	0.359851
T486326,T512345	C02620	19.0163	0.407564
T357877	C01801	21.1944	0.853093
T000828,T010538	C02861	52.7009	0.185717
T010538	C01508	23.6263	0.374842
T000828,T029725	C00402	48.1679	0.507920
T000828	C01891	37.2541	0.336806
T007265,T010538	C02620	63.4911	0.186629
T099155,T548769	C02616	66.8496	0.268534
T058504,T201532	C00589	55.3841	0.089651
T486326	C00811	12.1882	0.407346
T010538	C02793	16.0312	0.771483
T058504,T512345	C01552	40.5473	0.134551
T099155,T132569	C03137	62.1868	0.000000
T096128,T357877	C01508	42.9921	0.372884
T000828,T058504	C01361	44.3053	0.166977
T086766,T201532	C01508	19.8572	0.193542
T099155,T512345	C01891	41.2402	0.562314
T010538,T086766	C01186	44.2879	0.331091
T010538,T168867	C02321	35.5476	0.054308
T096128,T486326	C01508	29.0040	0.196600
T010538	C01801	30.7172	0.741166
T096128,T357877	C01376	36.7214	0.000000
T096128,T548769	C03137	38.7363	0.560449
T486326,T512345	C02541	42.0782	0.166677
T132569,T357877	C02321	33.3543	0.069420
T168867,T357877	C01361	46.9777	0.234964
T029725,T132569	C02793	53.5826	0.127841
T132569,T168867	C02616	46.4442	0.525186
T357877,T486326	C01361	31.3157	0.251060
T010538,T512345	C02616	56.3196	0.626899
T096128,T486326	C01801	55.7707	0.025854
T029725,T086766	C02793	34.8175	0.491970
T357877,T548769	C01508	50.7191	0.648602
T010538	C00589	37.7091	0.555291
T548769	C02541	11.3977	0.586310
T007265,T168867	C01186	51.3416	0.078955
T548769	C03235	27.5218	0.174203
T010538,T132569	C01186	59.6340	0.415988
T010538,T099155	C02616	71.5950	0.655850
T010538,T132569	C02616	64.9991	0.588061
T010538,T086766	C03198	76.5003	0.677841
T132569,T548769	C01552	57.5221	0.549362
