task_id_list	courier_id	total_score	willingness
T237452	C01784	10.1415	0.441129
T237452,T300199	C03596	47.5481	0.476579
T237452	C01667	17.8405	0.526077
T243217,T300199	C00191	50.9143	0.254271
T237452,T243217	C01667	36.0398	0.204743
T325345	C01070	10.9100	0.580716
T243217,T385844	C03596	42.2016	0.538953
T300199	C00191	28.1162	0.281449
T300199,T497211	C01784	39.7970	0.288209
T300199,T497211	C00154	37.2340	0.000000
T300199,T497211	C01078	16.7411	0.379495
T243217,T385844	C00154	42.9416	0.347414
T237452,T325345	C01667	31.9765	0.323146
T243217,T300199	C00154	40.9606	0.320809
T243217,T325345	C01667	23.5024	0.133242
T385844	C01070	21.8797	0.641748
T237452	C01070	16.6985	0.687761
T300199,T325345	C02399	22.1432	0.387782
T237452,T385844	C01070	50.3431	0.449825
T385844,T497211	C02659	44.5285	0.289087
T237452,T243217	C02659	44.6094	0.000000
T237452,T385844	C00154	27.8975	0.411413
T325345,T497211	C9011	42.9612	0.655221
T325345	C01078	10.3979	0.504189
T243217,T325345	C02659	48.0318	0.000000
T237452,T325345	C03596	55.7313	0.412695
T300199,T385844	C01784	39.7045	0.257959
T325345	C01525	10.6108	0.556524
T300199,T325345	C03596	49.9967	0.445647
T385844	C00191	24.6020	0.501112
T243217,T497211	C01525	42.2121	0.429023
T300199,T497211	C01525	45.1892	0.456063
T237452	C02659	27.0725	0.411064
T325345,T385844	C00191	49.1047	0.376306
T385844	C00154	12.7440	0.720414
T300199	C01784	22.5182	0.378741
T243217,T385844	C00191	51.2254	0.410249
T300199,T497211	C02659	49.4362	0.432319
T325345,T385844	C9010	44.2750	0.304755
T497211	C02659	28.9217	0.487011
T243217	C03596	22.0241	0.797259
T243217,T497211	C9010	51.2587	0.059937
T385844	C01078	18.6399	0.692625
T237452,T325345	C01078	45.1211	0.221799
T243217,T300199	C02399	20.9719	0.339771
T325345	C00191	19.0262	0.671361
T325345,T497211	C02659	43.5062	0.120221
T243217,T300199	C9010	44.1814	0.301258
T385844,T497211	C01784	39.8777	0.311033
T237452	C00154	16.8033	0.507283
T325345,T385844	C01525	33.5537	0.485948
T243217	C02399	10.5413	0.539434
T237452,T325345	C02399	47.9891	0.592498
T237452,T243217	C02399	23.6513	0.481093
T243217	C01078	16.2288	0.148539
T243217,T497211	C02399	25.1871	0.446243
T385844	C02659	10.2634	0.361725
T243217,T385844	C02659	39.4005	0.063201
T237452,T497211	C02659	50.7183	0.341067
T497211	C00154	15.8911	0.260488
T385844	C9010	21.9777	0.425851
T385844,T497211	C02399	31.3915	0.464283
T300199	C03596	22.0330	0.604433
T385844,T497211	C00154	39.0018	0.298175
T300199,T325345	C02659	42.7812	0.238962
T243217,T300199	C01784	31.4168	0.275504
T300199,T385844	C9010	48.9411	0.399089
T237452,T243217	C01078	36.4577	0.000000
T325345	C9010	23.9820	0.397407
T325345,T385844	C01078	29.6548	0.423505
T325345	C02399	19.9598	0.675930
T300199	C01525	14.3160	0.881954
T237452,T300199	C9010	27.5457	0.253665
T300199,T497211	C00191	38.2732	0.290027
T237452,T385844	C9010	39.9906	0.184291
T243217	C00154	25.3230	0.389637
T237452,T385844	C02659	48.9589	0.292464
T497211	C9011	11.5043	0.776219
T237452,T497211	C01667	37.5868	0.251365
T237452	C9011	25.5700	0.536624
T237452,T300199	C00191	56.5421	0.322547
T237452,T385844	C03596	50.5785	0.467202
T385844	C01784	26.2631	0.347062
T497211	C01078	11.3745	0.537444
T243217,T497211	C00154	45.5058	0.167905
T237452,T325345	C00191	54.4070	0.504061
T237452,T497211	C9010	41.4026	0.169987
T237452,T385844	C01667	42.6660	0.326133
T243217	C01070	10.0686	0.423212
T300199,T385844	C02399	19.6687	0.345595
T237452,T300199	C02659	44.9169	0.363588
T237452,T300199	C01667	50.0766	0.361784
T300199	C01078	11.2465	0.712839
T385844	C02399	10.4823	0.524942
T237452	C01078	18.9554	0.308967
T237452,T243217	C01784	16.3816	0.298607
T237452,T385844	C00191	44.9530	0.417480
T325345,T385844	C02399	19.9551	0.491027
T237452,T497211	C9011	39.0909	0.500090
T243217,T325345	C00191	44.3848	0.487762
T237452,T243217	C9010	42.0025	0.115001
T243217,T300199	C9011	49.4899	0.346534
T385844,T497211	C9011	41.9916	0.304327
T243217,T497211	C01784	18.8229	0.310122
T325345,T497211	C01784	40.5763	0.296814
T237452,T385844	C01525	41.3967	0.222536
T243217,T325345	C01070	38.3632	0.367658
T385844,T497211	C01667	39.7253	0.281067
T300199,T385844	C01667	45.2851	0.398625
T325345,T385844	C00154	47.8191	0.333210
T237452,T325345	C02659	45.7058	0.202075
T237452,T497211	C01070	46.1933	0.501944
T237452,T325345	C9010	45.3282	0.119743
T385844,T497211	C01078	31.6782	0.437278
T300199	C02659	15.9104	0.756488
T243217,T497211	C01078	45.8079	0.144685
T300199	C02399	10.0000	0.399263
T243217,T385844	C9011	49.2466	0.195206
T243217,T325345	C02399	36.6743	0.435741
T237452,T497211	C00191	28.8402	0.440714
T237452,T300199	C00154	40.6202	0.277621
T385844,T497211	C00191	41.3357	0.375552
T237452,T497211	C01525	43.0530	0.184291
T237452,T497211	C01784	25.6373	0.339417
T300199,T325345	C00154	32.7068	0.206455
T300199,T385844	C9011	45.0988	0.337824
T243217,T385844	C9010	52.5393	0.151328
T325345,T497211	C01070	38.7087	0.497224
T243217,T385844	C01784	35.1072	0.241684
T300199,T497211	C03596	44.3647	0.502328
T237452	C02399	23.4307	0.726856
T300199,T385844	C01078	17.3380	0.533762
T300199,T325345	C9010	41.9463	0.440180
T325345,T497211	C01078	39.2979	0.385986
T243217	C01784	10.0026	0.406990
T300199,T497211	C9010	33.6735	0.342892
T385844,T497211	C9010	45.5542	0.317803
T325345,T385844	C01070	43.7982	0.445528
T300199,T325345	C01784	49.4320	0.299286
