task_id_list	courier_id	total_score	willingness
T0026	C0050	23.48	0.1474
T0005,T0008	C0025	70.43	0.0253
T0003,T0004	C0018	54.04	0.0179
T0007,T0018	C0034	44.4	0.1682
T0020,T0022	C0045	34.88	0.0817
T0006,T0014	C0014	58.29	0.0
T0002,T0009	C0045	44.43	0.0
T0018,T0029	C0031	60.32	0.035
T0003,T0023	C0005	92.34	0.0017
T0004,T0017	C0050	50.8	0.0261
T0007,T0013	C0038	55.37	0.1018
T0011,T0030	C0046	43.74	0.0
T0017,T0024	C0015	58.42	0.0
T0017,T0029	C0057	81.04	0.0
T0013,T0030	C0041	44.23	0.0208
T0014,T0021	C0012	42.19	0.0
T0015,T0020	C0050	69.8	0.0
T0010,T0018	C0062	63.09	0.0884
T0002,T0026	C0017	59.56	0.0018
T0022,T0028	C0033	60.14	0.058
T0005,T0026	C0027	64.35	0.0
T0001,T0009	C0028	61.81	0.0358
T0002,T0003	C0037	64.0	0.1569
T0014,T0023	C0009	84.18	0.0
T0001,T0015	C0007	48.57	0.0293
T0007	C0001	30.95	0.2044
T0013,T0023	C0060	67.61	0.0074
T0019,T0021	C0057	43.17	0.0336
T0028,T0030	C0006	69.11	0.0
T0002,T0004	C0014	52.36	0.0934
T0022,T0025	C0033	85.04	0.0113
T0002,T0022	C0062	36.84	0.0
T0020,T0027	C0017	62.81	0.0
T0005,T0026	C0047	74.02	0.0058
T0004,T0016	C0053	50.96	0.0
T0011,T0015	C0013	37.17	0.0676
T0003,T0012	C0044	69.14	0.0592
T0016,T0026	C0049	88.01	0.0132
T0005,T0013	C0046	93.35	0.0
T0009,T0014	C0035	54.26	0.0
T0014,T0015	C0011	57.63	0.0717
T0002,T0006	C0020	53.21	0.0194
T0002,T0023	C0008	58.28	0.0895
T0009,T0019	C0048	73.7	0.0459
T0015,T0027	C0046	39.12	0.0861
T0001,T0018	C0014	59.68	0.009
T0029	C0061	28.36	0.2684
T0007,T0025	C0051	61.4	0.1074
T0004,T0019	C0015	58.08	0.1073
T0001,T0024	C0018	83.73	0.0473
T0020,T0026	C0049	80.75	0.059
T0010,T0018	C0023	39.8	0.0293
T0021,T0022	C0050	64.63	0.0314
T0007,T0013	C0034	54.71	0.1244
T0013,T0024	C0006	62.72	0.0
T0012,T0021	C0020	81.77	0.0
T0017,T0025	C0037	88.71	0.0617
T0024,T0030	C0009	52.75	0.0921
T0008	C0050	24.7	0.1449
T0013,T0016	C0016	59.89	0.0
T0004,T0024	C0030	68.37	0.0683
T0002,T0014	C0047	54.07	0.065
T0007,T0016	C0017	26.65	0.002
T0007,T0028	C0029	44.55	0.0815
T0014,T0024	C0027	73.94	0.04
T0002,T0025	C0029	71.39	0.1201
T0009,T0027	C0045	36.89	0.0543
T0003,T0018	C0009	30.39	0.1104
T0005,T0016	C0037	46.71	0.0
T0014,T0020	C0041	52.51	0.0235
T0007,T0019	C0038	45.5	0.0
T0006,T0019	C0013	76.99	0.0989
T0019,T0025	C0037	76.73	0.0
T0008,T0020	C0048	27.0	0.0821
T0019,T0022	C0038	20.0	0.0551
T0015,T0020	C0001	38.27	0.0199
T0022,T0029	C0046	62.01	0.0852
T0010,T0030	C0034	55.1	0.1352
T0015,T0018	C0045	61.05	0.0
T0002,T0012	C0007	48.25	0.074
T0010	C0013	29.55	0.174
T0009,T0011	C0003	56.82	0.0
T0013,T0025	C0004	77.31	0.0606
T0019,T0022	C0022	74.86	0.0257
T0020	C0049	28.05	0.1497
T0011	C0013	21.35	0.2512
T0001,T0012	C0010	54.13	0.0
T0003,T0027	C0033	70.25	0.0766
T0011,T0030	C0036	58.57	0.0
T0011,T0012	C0052	56.64	0.0376
T0001,T0017	C0051	64.57	0.0628
T0004,T0023	C0011	74.26	0.0394
T0004,T0017	C0051	84.44	0.0
T0010	C0049	39.56	0.1431
T0002,T0007	C0011	66.64	0.0
T0004,T0024	C0035	57.54	0.1153
T0012,T0026	C0025	36.5	0.0204
T0008,T0013	C0054	64.05	0.0239
T0008	C0013	19.15	0.1676
T0029,T0030	C0021	62.53	0.0918
T0005,T0014	C0058	68.26	0.0577
T0021,T0024	C0055	91.2	0.0157
T0008,T0022	C0002	81.82	0.0517
T0003,T0004	C0046	34.05	0.0485
T0025,T0028	C0037	76.5	0.0861
T0016,T0027	C0044	81.56	0.1406
T0026,T0028	C0034	63.07	0.0318
T0017,T0023	C0059	77.81	0.0024
T0007	C0022	17.33	0.116
T0017,T0020	C0012	82.73	0.0528
T0005,T0015	C0020	66.86	0.0483
T0006,T0011	C0056	57.77	0.0067
T0009,T0019	C0024	58.25	0.0135
T0024,T0030	C0052	45.22	0.0
T0008,T0028	C0016	51.55	0.0903
T0006,T0025	C0001	57.4	0.0
T0013,T0015	C0004	73.01	0.0508
T0008,T0015	C0055	28.31	0.0104
T0010,T0020	C0028	68.87	0.0479
T0016,T0021	C0011	43.12	0.0
T0021,T0027	C0001	56.79	0.0815
T0021,T0030	C0010	67.44	0.0
T0001,T0011	C0001	61.06	0.0512
T0007,T0020	C0042	66.15	0.0
T0004,T0008	C0028	50.9	0.0865
T0002,T0020	C0019	50.11	0.0348
T0002,T0011	C0051	41.89	0.0
T0019,T0026	C0028	63.24	0.0173
T0010,T0030	C0011	47.26	0.0631
T0012,T0027	C0054	52.6	0.0195
T0008,T0024	C0020	39.38	0.0539
T0022,T0024	C0050	47.77	0.0774
T0027,T0029	C0040	59.8	0.1143
T0009,T0014	C0005	56.76	0.068
T0001,T0003	C0034	52.31	0.0037
T0014,T0026	C0049	71.44	0.0
T0004,T0017	C0059	70.84	0.072
T0011,T0021	C0030	74.24	0.0367
T0013	C0003	27.24	0.1843
T0001	C0016	47.55	0.1171
T0015,T0028	C0046	38.46	0.038
T0003,T0020	C0020	65.19	0.0777
T0021,T0022	C0020	68.64	0.0757
T0006,T0007	C0059	50.6	0.0772
T0025	C0014	39.29	0.1152
T0016,T0019	C0042	59.25	0.0
T0004,T0029	C0060	74.51	0.1702
T0006,T0027	C0050	93.16	0.0
T0008,T0026	C0053	56.95	0.0513
T0017,T0018	C0057	95.02	0.0
T0012,T0030	C0058	62.06	0.1319
T0011,T0025	C0015	28.31	0.0639
T0021,T0024	C0052	41.95	0.0
T0005,T0017	C0007	62.41	0.0
T0019,T0025	C0021	40.69	0.0983
T0020,T0027	C0019	64.88	0.056
T0017,T0020	C0035	51.41	0.0616
T0019,T0022	C0033	71.97	0.0066
T0001,T0012	C0054	59.51	0.0298
T0014,T0026	C0028	49.45	0.1154
T0009,T0013	C0034	34.18	0.1068
T0016,T0030	C0021	69.45	0.0
T0004,T0023	C0032	56.34	0.013
T0005	C0014	49.87	0.2086
T0014,T0017	C0027	64.49	0.0
T0014,T0016	C0006	83.34	0.0245
T0026	C0062	17.59	0.1705
T0024,T0030	C0017	51.16	0.0
T0002,T0025	C0026	63.15	0.0
T0004,T0014	C0020	65.04	0.0447
T0007,T0008	C0002	58.28	0.0299
T0012,T0020	C0011	36.9	0.0037
T0009,T0018	C0057	94.62	0.0
T0015,T0020	C0041	50.43	0.0
T0005,T0010	C0015	72.43	0.0377
T0006,T0009	C0039	64.58	0.0
T0020,T0021	C0013	33.65	0.1499
T0017,T0018	C0030	38.32	0.0208
T0001,T0012	C0012	77.28	0.0146
T0005,T0021	C0004	67.74	0.0
T0016,T0027	C0060	68.07	0.0408
T0011,T0018	C0046	65.85	0.0319
T0012,T0023	C0045	58.74	0.0
T0008,T0023	C0006	75.52	0.0
T0001,T0015	C0013	63.52	0.0
T0030	C0021	19.63	0.0808
T0024,T0027	C0050	75.21	0.075
T0004,T0016	C0023	64.47	0.0
T0002,T0017	C0003	72.61	0.0
T0001,T0010	C0002	54.68	0.1152
T0006,T0030	C0022	82.8	0.0209
T0005,T0015	C0018	80.01	0.0
T0003,T0028	C0001	74.58	0.0047
T0005,T0008	C0041	50.25	0.0
T0003,T0024	C0011	52.27	0.0771
T0002,T0025	C0051	48.72	0.0412
T0010,T0020	C0056	94.23	0.0
T0008,T0030	C0020	63.9	0.0485
