task_id_list	courier_id	total_score	willingness
T0001,T0006	C0012	52.52	0.231
T0003,T0006	C0007	38.18	0.1948
T0005,T0006	C0008	51.41	0.3732
T0001,T0002	C0005	35.63	0.3063
T0002,T0004	C0004	41.18	0.23
T0001,T0006	C0008	45.67	0.2524
T0003,T0005	C0005	55.74	0.2002
T0004,T0006	C0007	34.21	0.2379
T0004,T0006	C0011	42.98	0.4523
T0006	C0006	28.3	0.8275
T0004,T0006	C0006	54.92	0.4652
T0002,T0004	C0001	34.18	0.3589
T0003,T0006	C0012	55.32	0.233
T0003	C0010	21.38	0.369
T0004,T0006	C0004	42.33	0.2348
T0002,T0004	C0007	42.9	0.346
T0002,T0006	C0001	34.67	0.3285
T0001,T0004	C0008	43.34	0.2403
T0001,T0002	C0007	51.25	0.2727
T0003,T0004	C0011	35.03	0.2715
T0002,T0005	C0012	53.95	0.3162
T0005,T0006	C0005	43.51	0.0268
T0003	C0012	26.41	0.5088
T0004	C0008	27.98	0.4472
T0002,T0005	C0010	35.65	0.3133
T0006	C0004	26.45	0.5288
T0002,T0003	C0001	37.18	0.2338
T0002,T0003	C0006	36.33	0.2464
T0001,T0004	C0010	52.41	0.3393
T0001,T0003	C0006	41.09	0.247
T0003,T0006	C0005	43.73	0.0861
T0001,T0003	C0009	27.66	0.2349
T0003,T0006	C0008	48.08	0.1078
T0003	C0009	14.35	0.4476
T0001,T0006	C0006	48.62	0.395
T0004	C0006	25.47	0.5961
T0001,T0004	C0011	44.38	0.3419
T0001,T0006	C0002	46.72	0.6065
T0002,T0005	C0003	40.2	0.3895
T0001	C0011	28.38	0.5225
T0002	C0012	29.13	0.4907
T0002,T0005	C0009	52.23	0.2011
T0004,T0006	C0011	41.31	0.4523
T0003,T0005	C0004	21.89	0.2375
T0002,T0003	C0004	44.37	0.3467
T0003,T0004	C0004	23.11	0.2703
T0003,T0006	C0004	31.61	0.3563
T0004	C0004	14.78	0.3998
T0001	C0006	23.55	0.4908
T0002	C0002	25.86	0.5061
T0002,T0003	C0004	34.98	0.3467
T0001	C0011	28.38	0.5225
T0002,T0004	C0004	46.7	0.23
T0001,T0003	C0007	37.29	0.2521
T0004,T0006	C0004	39.05	0.2348
T0002,T0006	C0007	44.57	0.2154
T0003,T0005	C0003	28.38	0.3824
T0001,T0002	C0011	52.05	0.2951
T0001,T0005	C0006	39.82	0.1529
T0003,T0006	C0007	38.75	0.1948
T0001,T0006	C0010	52.0	0.0319
T0001,T0006	C0004	42.74	0.27
T0002,T0006	C0004	56.62	0.3113
T0001,T0003	C0008	30.57	0.0978
T0002	C0006	22.98	0.4888
T0002	C0001	21.6	0.4769
T0001	C0009	15.16	0.4406
T0003	C0006	14.31	0.4372
T0004,T0006	C0001	22.26	0.478
T0001,T0004	C0005	37.36	0.2427
T0004	C0008	27.98	0.4472
T0002,T0005	C0007	43.5	0.3575
T0001,T0006	C0009	30.94	0.2662
T0002,T0006	C0001	29.39	0.3285
T0004	C0002	19.51	0.6145
T0001,T0006	C0012	57.23	0.231
T0001,T0004	C0003	45.71	0.3444
T0001,T0005	C0007	37.77	0.3067
T0001,T0002	C0006	43.95	0.2815
T0002,T0004	C0010	39.56	0.3175
T0003,T0004	C0003	46.73	0.3206
T0004	C0012	14.27	0.5472
T0004	C0005	27.18	0.5082
T0004	C0003	28.14	0.6595
T0003,T0005	C0005	54.94	0.2002
T0003,T0005	C0009	41.18	0.3271
T0001,T0003	C0004	28.47	0.3054
T0001,T0005	C0011	43.47	0.3652
T0004	C0005	27.18	0.5082
T0003,T0006	C0011	33.66	0.3269
T0001,T0003	C0009	25.65	0.2349
T0004	C0012	14.27	0.5472
T0003,T0004	C0007	38.9	0.3047
T0002,T0003	C0003	39.71	0.3786
T0004,T0006	C0005	43.43	0.0799
T0002,T0003	C0001	31.42	0.2338
T0002,T0006	C0002	52.74	0.4627
T0003,T0006	C0003	39.62	0.261
T0003,T0005	C0011	31.43	0.2948
T0002,T0005	C0011	45.83	0.3459
T0005,T0006	C0006	45.36	0.2651
T0002,T0003	C0001	34.96	0.2338
T0004,T0005	C0012	36.65	0.3539
T0002,T0005	C0011	43.47	0.3459
T0002	C0010	18.67	0.4713
T0005,T0006	C0003	37.75	0.3942
T0002,T0003	C0009	35.07	0.1136
T0003	C0003	19.13	0.4631
T0004	C0010	22.04	0.6339
T0003,T0006	C0009	43.08	0.2709
T0002,T0004	C0005	46.35	0.3637
T0001	C0004	17.39	0.4526
T0002,T0005	C0005	50.04	0.2575
T0004,T0006	C0010	51.1	0.0753
T0003,T0004	C0002	43.01	0.3017
T0003	C0007	20.2	0.4697
T0002,T0003	C0001	30.75	0.2338
T0002,T0006	C0010	49.21	0.0211
T0003	C0009	14.35	0.4476
T0001,T0006	C0012	54.11	0.231
T0004,T0005	C0005	50.7	0.194
T0001,T0004	C0010	52.81	0.3393
T0001,T0005	C0010	43.72	0.3351
T0005	C0005	25.65	0.3488
T0001,T0006	C0001	32.92	0.2063
T0004,T0005	C0009	50.79	0.2603
T0004,T0005	C0007	33.05	0.4023
T0003	C0011	10.11	0.4169
T0005,T0006	C0010	48.67	0.0711
T0003,T0005	C0008	47.83	0.2087
T0004,T0006	C0005	40.04	0.0799
T0001,T0006	C0001	33.68	0.2063
T0003,T0006	C0009	34.61	0.2709
T0006	C0010	31.1	0.1079
T0002,T0004	C0009	44.2	0.0802
T0003,T0005	C0003	32.9	0.3824
T0003,T0006	C0008	48.53	0.1078
T0002,T0006	C0009	46.48	0.1449
T0004,T0006	C0007	39.92	0.2379
T0002	C0010	18.67	0.4713
T0005	C0010	17.94	0.6213
T0003,T0006	C0011	32.13	0.3269
T0001	C0007	17.56	0.4554
T0003,T0005	C0010	34.95	0.2451
T0006	C0001	11.53	0.6555
T0002,T0003	C0007	46.09	0.2823
T0002,T0004	C0001	34.27	0.3589
T0001	C0012	23.78	0.5029
T0002,T0005	C0007	43.21	0.3575
T0005	C0012	23.06	0.5913
T0004,T0005	C0008	50.06	0.3512
T0002,T0004	C0006	51.75	0.3165
T0005,T0006	C0006	44.63	0.2651
T0005	C0008	29.15	0.7831
T0003,T0005	C0007	36.97	0.3163
T0004,T0005	C0004	28.56	0.159
T0005	C0005	25.65	0.3488
T0004,T0006	C0009	44.15	0.2041
T0002	C0004	26.7	0.5145
T0003	C0002	18.19	0.4574
T0006	C0008	26.77	0.4802
T0001,T0003	C0002	37.25	0.3375
T0002,T0005	C0008	46.77	0.3721
T0002,T0006	C0003	55.0	0.2681
T0004,T0005	C0002	38.41	0.3608
T0001,T0004	C0007	33.61	0.2952
T0001	C0008	16.94	0.4504
T0001	C0009	15.16	0.4406
T0003,T0005	C0009	45.41	0.3271
T0001,T0003	C0001	34.36	0.1292
T0004,T0005	C0006	43.29	0.188
T0002,T0006	C0002	52.36	0.4627
T0002,T0005	C0001	43.68	0.2106
T0003,T0006	C0001	26.99	0.2933
T0005,T0006	C0008	55.7	0.3732
T0003	C0006	14.31	0.4372
T0005,T0006	C0011	48.1	0.4988
T0001	C0012	23.78	0.5029
T0001,T0004	C0001	32.57	0.2368
T0005,T0006	C0007	36.86	0.2494
T0001,T0005	C0008	43.29	0.3533
T0006	C0009	20.62	0.5416
T0003,T0005	C0011	32.83	0.2948
T0003,T0006	C0004	43.42	0.3563
T0003,T0004	C0004	26.16	0.2703
T0001,T0003	C0003	44.51	0.267
T0002,T0004	C0012	38.64	0.3015
