task_id_list	courier_id	total_score	willingness
T0001,T0002	C0001	30.00	0.35
T0001,T0002	C9999	22.00	0.78
T0001,T0002	C0011	40.00	0.40
T0003,T0004	C0002	31.00	0.35
T0003,T0004	C9999	23.00	0.78
T0003,T0004	C0012	41.00	0.40
T0005,T0006	C0003	32.00	0.36
T0005,T0006	C9999	24.00	0.78
T0005,T0006	C0013	42.00	0.40
T0007,T0008	C0004	33.00	0.37
T0007,T0008	C9999	25.00	0.78
T0007,T0008	C0014	43.00	0.40
T0001	C0021	18.00	0.55
T0002	C0022	18.30	0.55
T0003	C0023	18.50	0.55
T0004	C0024	18.70	0.55
T0005	C0025	19.00	0.55
T0006	C0026	19.20	0.55
T0007	C0027	19.50	0.55
T0008	C0028	19.70	0.55
